ref_komodo_stable_id,komodo_stable_id,chicken_grcg6a_stable_id,crocodile_stable_id,turtle_painted_stable_id
ENSVKKG00000002592,,ENSGALG00000010356,,
ENSVKKG00000011121,,,,ENSCPBG00000013220
ENSVKKG00000004510,,,,ENSCPBG00000008913
ENSVKKG00000011576,ENSVKKG00000011576,ENSGALG00000029381,,
ENSVKKG00000007999,,,,ENSCPBG00000027036
ENSVKKG00000004813,,"{'ENSGALG00000047223', 'ENSGALG00000038551'}",,
ENSVKKG00000005447,,ENSGALG00000043727,,
ENSVKKG00000011176,,ENSGALG00000012222,,
ENSVKKG00000003650,,ENSGALG00000008985,,
ENSVKKG00000011093,,ENSGALG00000006016,,
ENSVKKG00000006159,,,,ENSCPBG00000010917
ENSVKKG00000017347,,ENSGALG00000005668,,
ENSVKKG00000005976,,ENSGALG00000044716,,
ENSVKKG00000011309,,"{'ENSGALG00000004660', 'ENSGALG00000055056'}",,
ENSVKKG00000008838,ENSVKKG00000008838,,,
ENSVKKG00000018394,,ENSGALG00000013674,,
ENSVKKG00000010278,,ENSGALG00000005499,,
ENSVKKG00000003031,,ENSGALG00000014528,,
ENSVKKG00000012829,,,,ENSCPBG00000011596
ENSVKKG00000004696,,ENSGALG00000010491,,
ENSVKKG00000005232,ENSVKKG00000005232,ENSGALG00000023725,,ENSCPBG00000025763
ENSVKKG00000007096,,,,ENSCPBG00000020735
ENSVKKG00000009858,ENSVKKG00000009858,ENSGALG00000013057,,
ENSVKKG00000010552,,ENSGALG00000033002,,
ENSVKKG00000004556,,ENSGALG00000046793,,
ENSVKKG00000014472,,ENSGALG00000023279,,
ENSVKKG00000007043,,ENSGALG00000017103,,
ENSVKKG00000007357,,ENSGALG00000024482,,
ENSVKKG00000005224,,ENSGALG00000038146,,
ENSVKKG00000017267,,ENSGALG00000033039,,
ENSVKKG00000017842,,ENSGALG00000035281,,
ENSVKKG00000009706,,ENSGALG00000044799,,
ENSVKKG00000003606,,ENSGALG00000030401,,
ENSVKKG00000004361,,ENSGALG00000039040,,
ENSVKKG00000009655,,ENSGALG00000030844,,
ENSVKKG00000002903,,ENSGALG00000006983,,
ENSVKKG00000012225,,ENSGALG00000009954,,
ENSVKKG00000012149,,ENSGALG00000010995,,
ENSVKKG00000004998,ENSVKKG00000004998,ENSGALG00000006351,,
ENSVKKG00000012743,ENSVKKG00000012743,ENSGALG00000030038,,
ENSVKKG00000011332,,"{'ENSGALG00000052986', 'ENSGALG00000052753', 'ENSGALG00000028294'}",,
ENSVKKG00000013396,,ENSGALG00000007668,,
ENSVKKG00000003603,,ENSGALG00000039178,,
ENSVKKG00000009829,,ENSGALG00000034876,,
ENSVKKG00000015691,,ENSGALG00000024298,,
ENSVKKG00000000014,,ENSGALG00000009807,,
ENSVKKG00000007136,ENSVKKG00000007136,ENSGALG00000000504,,
ENSVKKG00000007218,,ENSGALG00000004302,,
ENSVKKG00000006728,,ENSGALG00000010843,,
ENSVKKG00000005687,,ENSGALG00000012421,,
ENSVKKG00000011584,,"{'ENSGALG00000039701', 'ENSGALG00000000141', 'ENSGALG00000034319', 'ENSGALG00000044502', 'ENSGALG00000053266', 'ENSGALG00000030940'}",,
ENSVKKG00000005282,,,,ENSCPBG00000011582
ENSVKKG00000004884,,ENSGALG00000026948,,ENSCPBG00000003740
ENSVKKG00000014155,,ENSGALG00000009698,,
ENSVKKG00000016225,,ENSGALG00000010125,,
ENSVKKG00000013167,,ENSGALG00000041299,,
ENSVKKG00000006739,,ENSGALG00000017091,,
ENSVKKG00000006601,ENSVKKG00000006601,,,
ENSVKKG00000003551,,ENSGALG00000038128,,
ENSVKKG00000006066,,ENSGALG00000030941,,
ENSVKKG00000016702,,ENSGALG00000036252,,
ENSVKKG00000006365,ENSVKKG00000006365,ENSGALG00000028982,,
ENSVKKG00000012091,,ENSGALG00000030028,,
ENSVKKG00000003303,,ENSGALG00000012177,,
ENSVKKG00000000465,,ENSGALG00000031597,,ENSCPBG00000026396
ENSVKKG00000015843,,ENSGALG00000016053,,
ENSVKKG00000000664,,ENSGALG00000009553,,
ENSVKKG00000016608,,ENSGALG00000026313,,
ENSVKKG00000010886,,ENSGALG00000039535,,
ENSVKKG00000010943,,,,ENSCPBG00000014875
ENSVKKG00000004485,,ENSGALG00000010435,,
ENSVKKG00000006678,,ENSGALG00000004687,,
ENSVKKG00000006318,,"{'ENSGALG00000044569', 'ENSGALG00000053510', 'ENSGALG00000044598', 'ENSGALG00000050091', 'ENSGALG00000051297', 'ENSGALG00000042611', 'ENSGALG00000052376', 'ENSGALG00000050315', 'ENSGALG00000042449', 'ENSGALG00000044630', 'ENSGALG00000047794', 'ENSGALG00000047623', 'ENSGALG00000042684', 'ENSGALG00000045540'}",,
ENSVKKG00000004551,,ENSGALG00000010628,,
ENSVKKG00000007221,,ENSGALG00000040807,,
ENSVKKG00000016494,,,ENSCPRG00005007293,
ENSVKKG00000012299,,ENSGALG00000019094,,
ENSVKKG00000018442,,ENSGALG00000008127,,
ENSVKKG00000018006,,ENSGALG00000034024,,
ENSVKKG00000018259,,ENSGALG00000027050,,
ENSVKKG00000000460,,ENSGALG00000043234,,ENSCPBG00000026395
ENSVKKG00000010838,,"{'ENSGALG00000049713', 'ENSGALG00000047144', 'ENSGALG00000028720', 'ENSGALG00000019262'}",,
ENSVKKG00000017426,,ENSGALG00000036218,,
ENSVKKG00000010339,,ENSGALG00000032980,,
ENSVKKG00000008371,,ENSGALG00000003803,,
ENSVKKG00000014226,,ENSGALG00000001374,,
ENSVKKG00000006813,,ENSGALG00000019489,,
ENSVKKG00000005744,,ENSGALG00000039883,,
ENSVKKG00000014762,,ENSGALG00000043569,,
ENSVKKG00000010448,,ENSGALG00000026547,,
ENSVKKG00000010994,,ENSGALG00000011266,,ENSCPBG00000005094
ENSVKKG00000010658,ENSVKKG00000010658,ENSGALG00000043545,,
ENSVKKG00000001466,,"{'ENSGALG00000012041', 'ENSGALG00000012085'}",,
ENSVKKG00000015461,,,,"{'ENSCPBG00000017774', 'ENSCPBG00000016996'}"
ENSVKKG00000009493,,,,ENSCPBG00000010370
ENSVKKG00000013499,,ENSGALG00000011456,,
ENSVKKG00000013244,,ENSGALG00000001239,,
ENSVKKG00000018214,,ENSGALG00000040987,,
ENSVKKG00000010713,,,,ENSCPBG00000019979
ENSVKKG00000010833,,ENSGALG00000009192,,
ENSVKKG00000010512,ENSVKKG00000010512,ENSGALG00000012076,,
ENSVKKG00000012167,,"{'ENSGALG00000039701', 'ENSGALG00000000141', 'ENSGALG00000034319', 'ENSGALG00000044502', 'ENSGALG00000053266', 'ENSGALG00000030940'}",,
ENSVKKG00000012465,ENSVKKG00000012465,ENSGALG00000003932,ENSCPRG00005012010,
ENSVKKG00000014285,,ENSGALG00000011226,,
ENSVKKG00000017303,,,,ENSCPBG00000013866
ENSVKKG00000008189,,,,ENSCPBG00000001861
ENSVKKG00000014109,,ENSGALG00000001392,,
ENSVKKG00000011713,,ENSGALG00000037261,,
ENSVKKG00000000959,,ENSGALG00000009415,,
ENSVKKG00000001631,,ENSGALG00000032270,,
ENSVKKG00000000632,,,,ENSCPBG00000027548
ENSVKKG00000001935,,,,ENSCPBG00000026570
ENSVKKG00000004825,ENSVKKG00000004825,,,ENSCPBG00000018541
ENSVKKG00000004577,,ENSGALG00000027788,,
ENSVKKG00000003899,,ENSGALG00000008840,,
ENSVKKG00000003319,ENSVKKG00000003319,,,ENSCPBG00000019899
ENSVKKG00000017968,ENSVKKG00000017968,ENSGALG00000012254,,
ENSVKKG00000016724,,"{'ENSGALG00000039701', 'ENSGALG00000000141', 'ENSGALG00000034319', 'ENSGALG00000044502', 'ENSGALG00000053266', 'ENSGALG00000030940'}",,
ENSVKKG00000006405,,ENSGALG00000027658,,
ENSVKKG00000008654,ENSVKKG00000008654,,,
ENSVKKG00000000059,,ENSGALG00000006502,,
ENSVKKG00000005793,,ENSGALG00000035007,,
ENSVKKG00000007656,,ENSGALG00000013568,ENSCPRG00005013476,
ENSVKKG00000013770,ENSVKKG00000013770,,,
ENSVKKG00000016063,,ENSGALG00000002008,,
ENSVKKG00000008219,,ENSGALG00000003111,,
ENSVKKG00000005722,,ENSGALG00000012448,,
ENSVKKG00000001804,,ENSGALG00000014800,,
ENSVKKG00000006623,,ENSGALG00000012546,,ENSCPBG00000023156
ENSVKKG00000018395,,ENSGALG00000012732,,
ENSVKKG00000007101,,ENSGALG00000006051,,
ENSVKKG00000000329,,ENSGALG00000028940,,
ENSVKKG00000010001,ENSVKKG00000010001,,,
ENSVKKG00000011527,ENSVKKG00000011527,,,
ENSVKKG00000006920,,ENSGALG00000017167,,
ENSVKKG00000005329,,ENSGALG00000035206,,
ENSVKKG00000001412,,ENSGALG00000027793,,
ENSVKKG00000015527,ENSVKKG00000015527,ENSGALG00000003901,,
ENSVKKG00000003565,,ENSGALG00000008813,,
ENSVKKG00000004625,,ENSGALG00000011219,,
ENSVKKG00000018475,,ENSGALG00000012370,,
ENSVKKG00000004366,,ENSGALG00000036869,,
ENSVKKG00000016036,,ENSGALG00000008256,,
ENSVKKG00000000502,,,ENSCPRG00005012375,
ENSVKKG00000015085,,ENSGALG00000000209,,
ENSVKKG00000007528,ENSVKKG00000007528,,,
ENSVKKG00000000497,,ENSGALG00000025780,,
ENSVKKG00000012069,,ENSGALG00000001540,,
ENSVKKG00000001231,,ENSGALG00000012802,,
ENSVKKG00000015496,,"{'ENSGALG00000034701', 'ENSGALG00000041909'}",,
ENSVKKG00000002475,,"{'ENSGALG00000046217', 'ENSGALG00000044326'}",,
ENSVKKG00000009133,,ENSGALG00000013951,,
ENSVKKG00000003557,,ENSGALG00000011473,,
ENSVKKG00000010508,,ENSGALG00000011031,,
ENSVKKG00000012477,ENSVKKG00000012477,ENSGALG00000016919,ENSCPRG00005018657,
ENSVKKG00000000467,,ENSGALG00000019894,,
ENSVKKG00000009759,ENSVKKG00000009759,,,
ENSVKKG00000005075,,ENSGALG00000003875,,
ENSVKKG00000008324,,ENSGALG00000040854,,
ENSVKKG00000003427,,"{'ENSGALG00000054209', 'ENSGALG00000008881'}",,
ENSVKKG00000009137,,ENSGALG00000006407,,ENSCPBG00000007313
ENSVKKG00000014203,,ENSGALG00000014616,,
ENSVKKG00000004316,,ENSGALG00000035487,,
ENSVKKG00000009151,,,,ENSCPBG00000001023
ENSVKKG00000002055,,ENSGALG00000013072,,
ENSVKKG00000013495,,ENSGALG00000004646,,
ENSVKKG00000003796,,ENSGALG00000012260,,
ENSVKKG00000004224,,ENSGALG00000010182,,
ENSVKKG00000002024,,ENSGALG00000014485,,
ENSVKKG00000003159,,ENSGALG00000012087,,
ENSVKKG00000007461,,ENSGALG00000006543,,
ENSVKKG00000008941,,ENSGALG00000035182,,
ENSVKKG00000018132,,ENSGALG00000013726,,
ENSVKKG00000000834,,ENSGALG00000006525,,
ENSVKKG00000014209,,ENSGALG00000013494,,
ENSVKKG00000006857,ENSVKKG00000006857,ENSGALG00000011241,,
ENSVKKG00000017987,,ENSGALG00000008998,,
ENSVKKG00000009011,,ENSGALG00000042767,,
ENSVKKG00000006902,,"{'ENSGALG00000003819', 'ENSGALG00000054943'}",,
ENSVKKG00000000963,,ENSGALG00000017244,,
ENSVKKG00000001831,,ENSGALG00000008616,,
ENSVKKG00000006963,,ENSGALG00000026055,,
ENSVKKG00000007037,,ENSGALG00000037011,,
ENSVKKG00000016891,ENSVKKG00000016891,ENSGALG00000011965,,
ENSVKKG00000005987,ENSVKKG00000005987,,,
ENSVKKG00000008026,,ENSGALG00000043605,,
ENSVKKG00000008810,ENSVKKG00000008810,,,
ENSVKKG00000006854,ENSVKKG00000006854,ENSGALG00000011241,,
ENSVKKG00000007744,,,,ENSCPBG00000013819
ENSVKKG00000017888,,ENSGALG00000016541,,
ENSVKKG00000000413,,"{'ENSGALG00000010109', 'ENSGALG00000045795'}",,
ENSVKKG00000018477,,ENSGALG00000038782,,"{'ENSCPBG00000016622', 'ENSCPBG00000016618'}"
ENSVKKG00000008789,,ENSGALG00000009963,,
ENSVKKG00000010383,,ENSGALG00000013218,,
ENSVKKG00000006972,,ENSGALG00000028935,,
ENSVKKG00000008287,,ENSGALG00000001773,,
ENSVKKG00000004486,,ENSGALG00000011822,,
ENSVKKG00000004314,,ENSGALG00000000866,,ENSCPBG00000008928
ENSVKKG00000012298,,ENSGALG00000017006,,
ENSVKKG00000017094,,ENSGALG00000007649,,
ENSVKKG00000008782,,ENSGALG00000043208,,
ENSVKKG00000016189,ENSVKKG00000016189,ENSGALG00000031534,,ENSCPBG00000015418
ENSVKKG00000003699,,ENSGALG00000009062,,ENSCPBG00000021560
ENSVKKG00000005959,,ENSGALG00000043372,,
ENSVKKG00000007913,,ENSGALG00000053254,,
ENSVKKG00000006646,,ENSGALG00000030038,,
ENSVKKG00000012780,,ENSGALG00000016744,,
ENSVKKG00000014601,ENSVKKG00000014601,,,
ENSVKKG00000006947,,ENSGALG00000034344,,
ENSVKKG00000010263,,ENSGALG00000016721,,
ENSVKKG00000017417,,ENSGALG00000040768,,
ENSVKKG00000001403,ENSVKKG00000001403,"{'ENSGALG00000029857', 'ENSGALG00000053964'}",,
ENSVKKG00000009568,,ENSGALG00000004274,,
ENSVKKG00000009825,,ENSGALG00000032506,,ENSCPBG00000003189
ENSVKKG00000009600,ENSVKKG00000009600,ENSGALG00000003267,,
ENSVKKG00000002991,,"{'ENSGALG00000031167', 'ENSGALG00000031648'}",,"{'ENSCPBG00000013888', 'ENSCPBG00000013890'}"
ENSVKKG00000011924,,ENSGALG00000030313,,
ENSVKKG00000018723,,ENSGALG00000016174,,
ENSVKKG00000009111,,ENSGALG00000013874,,
ENSVKKG00000014966,ENSVKKG00000014966,,,
ENSVKKG00000012177,,ENSGALG00000028659,,"{'ENSCPBG00000017760', 'ENSCPBG00000003558', 'ENSCPBG00000006164', 'ENSCPBG00000001207', 'ENSCPBG00000017005', 'ENSCPBG00000003693', 'ENSCPBG00000018679', 'ENSCPBG00000001175', 'ENSCPBG00000013062', 'ENSCPBG00000018663', 'ENSCPBG00000017687', 'ENSCPBG00000018689', 'ENSCPBG00000003506', 'ENSCPBG00000017708', 'ENSCPBG00000013049', 'ENSCPBG00000017712', 'ENSCPBG00000013064', 'ENSCPBG00000003678', 'ENSCPBG00000017009', 'ENSCPBG00000021488', 'ENSCPBG00000017670', 'ENSCPBG00000017006', 'ENSCPBG00000018673', 'ENSCPBG00000017882', 'ENSCPBG00000017729', 'ENSCPBG00000003629', 'ENSCPBG00000001142', 'ENSCPBG00000013053', 'ENSCPBG00000003587', 'ENSCPBG00000018694', 'ENSCPBG00000017665', 'ENSCPBG00000003537', 'ENSCPBG00000018703', 'ENSCPBG00000007077'}"
ENSVKKG00000001628,,ENSGALG00000003185,,
ENSVKKG00000011506,,ENSGALG00000004112,,
ENSVKKG00000008742,,ENSGALG00000016816,,
ENSVKKG00000008997,,ENSGALG00000002457,,
ENSVKKG00000000134,,ENSGALG00000028537,,
ENSVKKG00000010730,ENSVKKG00000010730,,,ENSCPBG00000023232
ENSVKKG00000016603,,ENSGALG00000012574,,
ENSVKKG00000001004,,ENSGALG00000012761,,
ENSVKKG00000002984,,ENSGALG00000008739,,
ENSVKKG00000006213,,ENSGALG00000016442,,ENSCPBG00000014047
ENSVKKG00000002553,ENSVKKG00000002553,,,
ENSVKKG00000017911,,ENSGALG00000005046,,
ENSVKKG00000007652,,ENSGALG00000013573,,
ENSVKKG00000010831,,,,ENSCPBG00000016967
ENSVKKG00000009611,,ENSGALG00000006872,,
ENSVKKG00000001408,,ENSGALG00000014978,,
ENSVKKG00000017818,,ENSGALG00000006658,,
ENSVKKG00000002626,,ENSGALG00000000734,,
ENSVKKG00000017666,,ENSGALG00000014166,,
ENSVKKG00000017210,,ENSGALG00000027506,,
ENSVKKG00000005650,,ENSGALG00000011881,,
ENSVKKG00000002980,,ENSGALG00000005284,,
ENSVKKG00000005940,,,,ENSCPBG00000015700
ENSVKKG00000006695,,ENSGALG00000026493,,
ENSVKKG00000018407,ENSVKKG00000018407,,,
ENSVKKG00000006919,,,ENSCPRG00005017026,
ENSVKKG00000000064,ENSVKKG00000000064,,,
ENSVKKG00000012424,,ENSGALG00000011884,,
ENSVKKG00000000601,ENSVKKG00000000601,,,
ENSVKKG00000013670,,ENSGALG00000017350,,
ENSVKKG00000013300,,ENSGALG00000013481,,
ENSVKKG00000009994,ENSVKKG00000009994,ENSGALG00000032419,,
ENSVKKG00000012562,,ENSGALG00000028448,,
ENSVKKG00000004111,,ENSGALG00000013183,,
ENSVKKG00000004963,ENSVKKG00000004963,ENSGALG00000002192,,
ENSVKKG00000018150,ENSVKKG00000018150,,,
ENSVKKG00000013923,ENSVKKG00000013923,,,
ENSVKKG00000016831,ENSVKKG00000016831,ENSGALG00000001189,,
ENSVKKG00000010718,,ENSGALG00000011104,,
ENSVKKG00000004812,,ENSGALG00000015141,,
ENSVKKG00000017521,,ENSGALG00000043827,,
ENSVKKG00000013318,,,,"{'ENSCPBG00000005134', 'ENSCPBG00000024905'}"
ENSVKKG00000014642,,ENSGALG00000007097,,ENSCPBG00000014477
ENSVKKG00000003902,ENSVKKG00000003902,,,
ENSVKKG00000007900,,ENSGALG00000003430,,
ENSVKKG00000005633,,ENSGALG00000012355,,
ENSVKKG00000004555,,ENSGALG00000028897,,
ENSVKKG00000009868,,ENSGALG00000050257,,
ENSVKKG00000004484,,ENSGALG00000010674,,
ENSVKKG00000017433,,,,ENSCPBG00000006163
ENSVKKG00000015552,,ENSGALG00000009450,,
ENSVKKG00000018298,,ENSGALG00000045640,,
ENSVKKG00000015240,,ENSGALG00000034229,,ENSCPBG00000005696
ENSVKKG00000002913,,ENSGALG00000003323,,
ENSVKKG00000005063,ENSVKKG00000005063,,,
ENSVKKG00000011051,ENSVKKG00000011051,,,ENSCPBG00000004907
ENSVKKG00000012508,,,,ENSCPBG00000023603
ENSVKKG00000008149,,ENSGALG00000008811,,
ENSVKKG00000006544,,ENSGALG00000042534,,
ENSVKKG00000007787,,ENSGALG00000031397,,
ENSVKKG00000008365,,ENSGALG00000015529,,
ENSVKKG00000000651,,ENSGALG00000014801,,
ENSVKKG00000009240,,ENSGALG00000006147,,
ENSVKKG00000015485,,ENSGALG00000028659,,"{'ENSCPBG00000017760', 'ENSCPBG00000003558', 'ENSCPBG00000006164', 'ENSCPBG00000001207', 'ENSCPBG00000017005', 'ENSCPBG00000003693', 'ENSCPBG00000018679', 'ENSCPBG00000001175', 'ENSCPBG00000013062', 'ENSCPBG00000018663', 'ENSCPBG00000017687', 'ENSCPBG00000018689', 'ENSCPBG00000003506', 'ENSCPBG00000017708', 'ENSCPBG00000013049', 'ENSCPBG00000017712', 'ENSCPBG00000013064', 'ENSCPBG00000003678', 'ENSCPBG00000017009', 'ENSCPBG00000021488', 'ENSCPBG00000017670', 'ENSCPBG00000017006', 'ENSCPBG00000018673', 'ENSCPBG00000017882', 'ENSCPBG00000017729', 'ENSCPBG00000003629', 'ENSCPBG00000001142', 'ENSCPBG00000013053', 'ENSCPBG00000003587', 'ENSCPBG00000018694', 'ENSCPBG00000017665', 'ENSCPBG00000003537', 'ENSCPBG00000018703', 'ENSCPBG00000007077'}"
ENSVKKG00000002736,,ENSGALG00000001214,,ENSCPBG00000015850
ENSVKKG00000010746,,ENSGALG00000016471,,
ENSVKKG00000001097,,ENSGALG00000001728,,
ENSVKKG00000001786,,ENSGALG00000001014,,
ENSVKKG00000005064,,ENSGALG00000029834,,
ENSVKKG00000014377,,ENSGALG00000006515,,
ENSVKKG00000002390,,ENSGALG00000011118,,
ENSVKKG00000000509,,,,ENSCPBG00000017526
ENSVKKG00000002535,,ENSGALG00000006325,,
ENSVKKG00000009332,,ENSGALG00000005237,,
ENSVKKG00000007978,,ENSGALG00000007030,,
ENSVKKG00000015401,,ENSGALG00000016125,,
ENSVKKG00000002500,,,,"{'ENSCPBG00000012777', 'ENSCPBG00000008486', 'ENSCPBG00000011558', 'ENSCPBG00000011180', 'ENSCPBG00000010112'}"
ENSVKKG00000016725,,ENSGALG00000007018,,
ENSVKKG00000011012,,ENSGALG00000007161,,
ENSVKKG00000000609,,ENSGALG00000009378,,
ENSVKKG00000016055,,ENSGALG00000003628,,
ENSVKKG00000000052,,ENSGALG00000003122,,ENSCPBG00000020591
ENSVKKG00000004067,ENSVKKG00000004067,,,
ENSVKKG00000008127,,ENSGALG00000041643,,
ENSVKKG00000013648,,"{'ENSGALG00000035309', 'ENSGALG00000047152', 'ENSGALG00000017347'}",,"{'ENSCPBG00000021730', 'ENSCPBG00000021732', 'ENSCPBG00000021728'}"
ENSVKKG00000016847,,ENSGALG00000004113,,ENSCPBG00000014313
ENSVKKG00000003938,,ENSGALG00000005164,,
ENSVKKG00000010285,,ENSGALG00000005601,,
ENSVKKG00000000225,,"{'ENSGALG00000051251', 'ENSGALG00000050350', 'ENSGALG00000050309', 'ENSGALG00000049751', 'ENSGALG00000027571'}",,
ENSVKKG00000017376,,ENSGALG00000052204,,
ENSVKKG00000012942,,ENSGALG00000011020,,
ENSVKKG00000007522,ENSVKKG00000007522,,,
ENSVKKG00000010692,,ENSGALG00000002689,,
ENSVKKG00000008411,,ENSGALG00000015209,,ENSCPBG00000020350
ENSVKKG00000009256,,ENSGALG00000033447,,
ENSVKKG00000017298,,,,ENSCPBG00000003165
ENSVKKG00000002142,,ENSGALG00000037812,,ENSCPBG00000027891
ENSVKKG00000007735,,"{'ENSGALG00000014642', 'ENSGALG00000031327'}",,
ENSVKKG00000007564,,,,ENSCPBG00000027614
ENSVKKG00000001422,,ENSGALG00000014514,,
ENSVKKG00000005381,,ENSGALG00000034688,,
ENSVKKG00000008463,,,,"{'ENSCPBG00000001518', 'ENSCPBG00000017318', 'ENSCPBG00000005891'}"
ENSVKKG00000001976,,ENSGALG00000014501,,
ENSVKKG00000014645,,ENSGALG00000029329,,
ENSVKKG00000011236,,ENSGALG00000010761,,
ENSVKKG00000009480,,ENSGALG00000003241,,
ENSVKKG00000014048,,ENSGALG00000003588,,
ENSVKKG00000003882,,ENSGALG00000008555,,
ENSVKKG00000012817,,ENSGALG00000003503,,
ENSVKKG00000010738,,ENSGALG00000016479,,
ENSVKKG00000004753,,ENSGALG00000034414,,
ENSVKKG00000016245,,ENSGALG00000003861,,
ENSVKKG00000005495,,,,ENSCPBG00000012700
ENSVKKG00000001235,ENSVKKG00000001235,,,
ENSVKKG00000009540,,ENSGALG00000006766,,
ENSVKKG00000003402,ENSVKKG00000003402,ENSGALG00000033635,ENSCPRG00005014013,
ENSVKKG00000005330,,ENSGALG00000000681,,
ENSVKKG00000006866,,ENSGALG00000029817,,
ENSVKKG00000018258,,,,ENSCPBG00000024410
ENSVKKG00000010154,,ENSGALG00000007703,,
ENSVKKG00000003347,ENSVKKG00000003347,ENSGALG00000004071,,
ENSVKKG00000003339,,ENSGALG00000004342,,
ENSVKKG00000000247,,ENSGALG00000011692,,
ENSVKKG00000002733,ENSVKKG00000002733,ENSGALG00000016854,,
ENSVKKG00000010705,,ENSGALG00000040397,,
ENSVKKG00000000351,,ENSGALG00000035952,,
ENSVKKG00000009160,,ENSGALG00000006565,ENSCPRG00005002055,
ENSVKKG00000005738,,ENSGALG00000012453,,
ENSVKKG00000003501,,ENSGALG00000008045,,
ENSVKKG00000017133,,ENSGALG00000023440,,
ENSVKKG00000009195,,"{'ENSGALG00000032796', 'ENSGALG00000051751', 'ENSGALG00000054992'}",,
ENSVKKG00000010930,,ENSGALG00000028290,,
ENSVKKG00000013769,,ENSGALG00000016231,,
ENSVKKG00000005855,,ENSGALG00000000507,,
ENSVKKG00000009438,,ENSGALG00000028145,,
ENSVKKG00000014787,,ENSGALG00000008179,,
ENSVKKG00000003732,,ENSGALG00000011902,,
ENSVKKG00000007194,ENSVKKG00000007194,,,
ENSVKKG00000005711,ENSVKKG00000005711,,,
ENSVKKG00000007698,,ENSGALG00000039589,,
ENSVKKG00000002907,,,,ENSCPBG00000009002
ENSVKKG00000006206,,ENSGALG00000016592,,
ENSVKKG00000015798,,ENSGALG00000000374,,
ENSVKKG00000017167,,ENSGALG00000049356,,
ENSVKKG00000009574,,ENSGALG00000004236,,
ENSVKKG00000018635,,"{'ENSGALG00000031874', 'ENSGALG00000031159', 'ENSGALG00000011747', 'ENSGALG00000037167', 'ENSGALG00000011783'}",,ENSCPBG00000021027
ENSVKKG00000004198,ENSVKKG00000004198,ENSGALG00000006715,,
ENSVKKG00000006763,,,,"{'ENSCPBG00000015970', 'ENSCPBG00000015955', 'ENSCPBG00000015961', 'ENSCPBG00000019661', 'ENSCPBG00000015952', 'ENSCPBG00000019411', 'ENSCPBG00000015954', 'ENSCPBG00000019664', 'ENSCPBG00000015967', 'ENSCPBG00000015959', 'ENSCPBG00000015965', 'ENSCPBG00000015956'}"
ENSVKKG00000003414,,ENSGALG00000003891,,
ENSVKKG00000003244,ENSVKKG00000003244,,,
ENSVKKG00000009745,,ENSGALG00000031149,,
ENSVKKG00000008935,,ENSGALG00000015605,,ENSCPBG00000020234
ENSVKKG00000015209,ENSVKKG00000015209,,,
ENSVKKG00000001411,ENSVKKG00000001411,ENSGALG00000013039,,
ENSVKKG00000001883,,ENSGALG00000012067,,
ENSVKKG00000009177,ENSVKKG00000009177,,,
ENSVKKG00000011988,ENSVKKG00000011988,,,
ENSVKKG00000013210,,ENSGALG00000001093,,
ENSVKKG00000016443,,ENSGALG00000010579,,
ENSVKKG00000002545,ENSVKKG00000002545,,,
ENSVKKG00000007210,,ENSGALG00000023066,,
ENSVKKG00000003831,,ENSGALG00000049951,,
ENSVKKG00000012430,,ENSGALG00000001717,,
ENSVKKG00000000791,ENSVKKG00000000791,ENSGALG00000016316,,
ENSVKKG00000006427,,ENSGALG00000012265,,
ENSVKKG00000014925,ENSVKKG00000014925,ENSGALG00000000189,,
ENSVKKG00000018471,,ENSGALG00000012387,,
ENSVKKG00000003350,,ENSGALG00000007361,,
ENSVKKG00000003598,,,,ENSCPBG00000014813
ENSVKKG00000004553,,ENSGALG00000000109,,
ENSVKKG00000007203,,ENSGALG00000005470,,
ENSVKKG00000007328,,,,ENSCPBG00000023177
ENSVKKG00000013324,,,,ENSCPBG00000007630
ENSVKKG00000017679,,ENSGALG00000014203,,
ENSVKKG00000009163,ENSVKKG00000009163,ENSGALG00000019552,,
ENSVKKG00000000195,,ENSGALG00000006189,,
ENSVKKG00000016073,ENSVKKG00000016073,ENSGALG00000021539,,
ENSVKKG00000001101,,ENSGALG00000017158,,
ENSVKKG00000016206,,ENSGALG00000023576,,ENSCPBG00000021320
ENSVKKG00000003617,,"{'ENSGALG00000054196', 'ENSGALG00000049551', 'ENSGALG00000014585', 'ENSGALG00000053121'}",,
ENSVKKG00000000009,ENSVKKG00000000009,ENSGALG00000052425,,
ENSVKKG00000006287,,ENSGALG00000009057,,
ENSVKKG00000017249,,"{'ENSGALG00000048936', 'ENSGALG00000041102'}",,
ENSVKKG00000006531,ENSVKKG00000006531,ENSGALG00000031323,,
ENSVKKG00000005641,,,,ENSCPBG00000010150
ENSVKKG00000011790,,"{'ENSGALG00000025778', 'ENSGALG00000006152', 'ENSGALG00000029485'}",,
ENSVKKG00000015222,,ENSGALG00000052014,,
ENSVKKG00000013855,,ENSGALG00000012112,,
ENSVKKG00000017817,ENSVKKG00000017817,,,
ENSVKKG00000009603,,ENSGALG00000003282,,
ENSVKKG00000014085,,ENSGALG00000033063,,
ENSVKKG00000006812,ENSVKKG00000006812,,,
ENSVKKG00000006457,,ENSGALG00000023131,,
ENSVKKG00000012281,,ENSGALG00000002158,,
ENSVKKG00000010804,,ENSGALG00000011017,,
ENSVKKG00000005307,,ENSGALG00000007178,,
ENSVKKG00000005262,,ENSGALG00000003933,,
