komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,crocodile_stable_id,crocodile_name,chicken_grcg6a_stable_id,chicken_grcg6a_name
ENSVKKG00000018016,CRTAP,ENSCPBG00000000302,CRTAP,ENSCPRG00005008807,CRTAP,ENSGALG00000034163,CRTAP
ENSVKKG00000000860,CTSE,ENSCPBG00000001757,CTSE,ENSCPRG00005010189,CTSE,ENSGALG00000000786,CTSE
ENSVKKG00000017933,TPST2,ENSCPBG00000021599,TPST2,ENSCPRG00005010422,TPST2,ENSGALG00000005626,TPST2
ENSVKKG00000006261,SUDS3,ENSCPBG00000012287,SUDS3,ENSCPRG00005006397,SUDS3,ENSGALG00000007393,SUDS3
ENSVKKG00000008239,ZRANB1,ENSCPBG00000028065,ZRANB1,ENSCPRG00005009776,ZRANB1,ENSGALG00000031474,ZRANB1
ENSVKKG00000014178,CMTM3,ENSCPBG00000012065,CMTM3,ENSCPRG00005005391,CMTM3,ENSGALG00000000424,CMTM3
ENSVKKG00000012903,MALSU1,ENSCPBG00000022463,MALSU1,ENSCPRG00005015969,MALSU1,ENSGALG00000010954,MALSU1
ENSVKKG00000008620,SCUBE3,ENSCPBG00000027165,SCUBE3,ENSCPRG00005014284,SCUBE3,ENSGALG00000002675,SCUBE3
ENSVKKG00000018409,TFAP2A,ENSCPBG00000008535,TFAP2A,ENSCPRG00005001914,TFAP2A,ENSGALG00000012775,TFAP2A
ENSVKKG00000000071,TAF5,ENSCPBG00000024491,TAF5,ENSCPRG00005012674,TAF5,ENSGALG00000008241,TAF5
ENSVKKG00000006907,RPF1,ENSCPBG00000025911,RPF1,ENSCPRG00005017093,RPF1,ENSGALG00000008796,RPF1
ENSVKKG00000016591,CREBBP,ENSCPBG00000026358,CREBBP,ENSCPRG00005002873,CREBBP,ENSGALG00000007762,CREBBP
ENSVKKG00000009470,ZNF362,ENSCPBG00000007576,ZNF362,ENSCPRG00005014995,ZNF362,ENSGALG00000026558,ZNF362
ENSVKKG00000003713,AP1M1,ENSCPBG00000015037,AP1M1,ENSCPRG00005017788,AP1M1,ENSGALG00000003959,AP1M1
ENSVKKG00000003897,SLC16A4,ENSCPBG00000001674,SLC16A4,ENSCPRG00005003700,SLC16A4,ENSGALG00000000417,SLC16A4
ENSVKKG00000010745,,ENSCPBG00000027406,KIAA1755,ENSCPRG00005008017,KIAA1755,ENSGALG00000047290,KIAA1755
ENSVKKG00000005741,E2F6,ENSCPBG00000014007,E2F6,ENSCPRG00005006100,,ENSGALG00000016454,E2F6
ENSVKKG00000000992,PHETA1,ENSCPBG00000003447,PHETA1,ENSCPRG00005013202,PHETA1,ENSGALG00000041153,PHETA1
ENSVKKG00000010394,LYAR,ENSCPBG00000005694,LYAR,ENSCPRG00005003903,LYAR,ENSGALG00000015000,LYAR
ENSVKKG00000008349,MLLT1,ENSCPBG00000011153,MLLT1,ENSCPRG00005009615,MLLT1,ENSGALG00000001596,MLLT1
ENSVKKG00000010365,UBAP2L,ENSCPBG00000024662,UBAP2L,ENSCPRG00005000060,UBAP2L,ENSGALG00000024094,UBAP2L
ENSVKKG00000007131,STK38,ENSCPBG00000025288,STK38,ENSCPRG00005003323,STK38,ENSGALG00000000523,STK38
ENSVKKG00000018232,LHX1,ENSCPBG00000009599,LHX1,ENSCPRG00005010460,LHX1,ENSGALG00000005409,LHX1
ENSVKKG00000003368,FAM171A1,ENSCPBG00000021205,FAM171A1,ENSCPRG00005011587,FAM171A1,ENSGALG00000008764,FAM171A1
ENSVKKG00000008361,MAPK8IP3,ENSCPBG00000023332,MAPK8IP3,ENSCPRG00005000441,MAPK8IP3,ENSGALG00000029514,MAPK8IP3
ENSVKKG00000006259,GFM1,ENSCPBG00000018367,GFM1,ENSCPRG00005007644,GFM1,ENSGALG00000009634,GFM1
ENSVKKG00000006036,,ENSCPBG00000021453,,ENSCPRG00005012638,,ENSGALG00000027002,
ENSVKKG00000015111,TMEM129,ENSCPBG00000000738,TMEM129,ENSCPRG00005001354,TMEM129,ENSGALG00000015710,TMEM129
ENSVKKG00000018044,SCFD2,ENSCPBG00000025016,SCFD2,ENSCPRG00005010093,SCFD2,ENSGALG00000039168,SCFD2
ENSVKKG00000010778,UBE2I,ENSCPBG00000002660,UBE2I,ENSCPRG00005010136,UBE2I,ENSGALG00000006428,UBE2I
ENSVKKG00000010116,RPL34,ENSCPBG00000004169,,ENSCPRG00005005811,RPL34,ENSGALG00000032002,RPL34
ENSVKKG00000014528,SBF2,ENSCPBG00000022912,SBF2,ENSCPRG00005002412,SBF2,ENSGALG00000005716,SBF2
ENSVKKG00000018327,C20orf194,ENSCPBG00000024533,C20orf194,ENSCPRG00005018802,C20orf194,ENSGALG00000053000,C20orf194
ENSVKKG00000002608,FBXW5,ENSCPBG00000019214,FBXW5,ENSCPRG00005011077,FBXW5,ENSGALG00000030831,FBXW5
ENSVKKG00000002815,KIF11,ENSCPBG00000023776,KIF11,ENSCPRG00005014917,KIF11,ENSGALG00000030597,KIF11
ENSVKKG00000013261,BTBD2,ENSCPBG00000018507,BTBD2,ENSCPRG00005009092,BTBD2,ENSGALG00000001019,BTBD2
ENSVKKG00000002999,NFKB2,ENSCPBG00000020445,NFKB2,ENSCPRG00005000880,NFKB2,ENSGALG00000005653,NFKB2
ENSVKKG00000014248,TMEM117,ENSCPBG00000015381,TMEM117,ENSCPRG00005008971,TMEM117,ENSGALG00000009596,TMEM117
ENSVKKG00000011210,MRPS22,ENSCPBG00000019266,MRPS22,ENSCPRG00005004730,MRPS22,ENSGALG00000005367,MRPS22
ENSVKKG00000015936,PHLDA1,ENSCPBG00000018103,PHLDA1,ENSCPRG00005006137,PHLDA1,ENSGALG00000034788,PHLDA1
ENSVKKG00000015150,BRPF1,ENSCPBG00000008888,BRPF1,ENSCPRG00005016983,BRPF1,ENSGALG00000033529,BRPF1
ENSVKKG00000005040,ATP10B,ENSCPBG00000008070,ATP10B,ENSCPRG00005007012,ATP10B,ENSGALG00000001662,ATP10B
ENSVKKG00000013756,FASLG,ENSCPBG00000005130,FASLG,ENSCPRG00005003963,FASLG,ENSGALG00000003076,FASLG
ENSVKKG00000010240,CD99,ENSCPBG00000010364,CD99,ENSCPRG00005007084,CD99,ENSGALG00000024488,CD99
ENSVKKG00000017674,SAMM50,ENSCPBG00000025275,SAMM50,ENSCPRG00005002939,SAMM50,ENSGALG00000014194,SAMM50
ENSVKKG00000016273,,ENSCPBG00000021147,RPS2,ENSCPRG00005014874,,ENSGALG00000005490,RPS2
ENSVKKG00000017825,RLBP1,ENSCPBG00000017681,RLBP1,ENSCPRG00005016896,RLBP1,ENSGALG00000006676,RLBP1
ENSVKKG00000003288,TDRD7,ENSCPBG00000024049,TDRD7,ENSCPRG00005012968,TDRD7,ENSGALG00000012350,TDRD7
ENSVKKG00000000717,SLC46A1,ENSCPBG00000020349,SLC46A1,ENSCPRG00005015818,SLC46A1,ENSGALG00000003604,SLC46A1
ENSVKKG00000011180,TSPAN5,ENSCPBG00000016130,TSPAN5,ENSCPRG00005012703,TSPAN5,ENSGALG00000012227,TSPAN5
ENSVKKG00000012018,NRIP3,ENSCPBG00000022811,NRIP3,ENSCPRG00005001675,NRIP3,ENSGALG00000005903,NRIP3
ENSVKKG00000013504,,ENSCPBG00000004004,,ENSCPRG00005013226,,ENSGALG00000021692,
ENSVKKG00000003767,EBNA1BP2,ENSCPBG00000002595,EBNA1BP2,ENSCPRG00005017264,EBNA1BP2,ENSGALG00000009045,EBNA1BP2
ENSVKKG00000014122,BANP,ENSCPBG00000023508,BANP,ENSCPRG00005006883,BANP,ENSGALG00000005872,BANP
ENSVKKG00000004680,ARPC5,ENSCPBG00000015716,ARPC5,ENSCPRG00005013946,ARPC5,ENSGALG00000020927,ARPC5
ENSVKKG00000000270,SERPINI1,ENSCPBG00000016105,SERPINI1,ENSCPRG00005008452,SERPINI1,ENSGALG00000009470,SERPINI1
ENSVKKG00000017525,PRTG,ENSCPBG00000004188,PRTG,ENSCPRG00005011722,PRTG,ENSGALG00000037336,PRTG
ENSVKKG00000005305,,ENSCPBG00000010886,,ENSCPRG00005005210,,ENSGALG00000054937,
ENSVKKG00000018188,ARMT1,ENSCPBG00000016517,ARMT1,ENSCPRG00005018186,ARMT1,ENSGALG00000026322,ARMT1
ENSVKKG00000011225,LANCL2,ENSCPBG00000024826,LANCL2,ENSCPRG00005011572,LANCL2,ENSGALG00000032570,LANCL2
ENSVKKG00000017060,ZWILCH,ENSCPBG00000014089,ZWILCH,ENSCPRG00005000651,ZWILCH,ENSGALG00000007736,ZWILCH
ENSVKKG00000015078,ZNF346,ENSCPBG00000022601,ZNF346,ENSCPRG00005014071,ZNF346,ENSGALG00000001144,ZNF346
ENSVKKG00000007897,SIRT6,ENSCPBG00000011103,SIRT6,ENSCPRG00005008769,SIRT6,ENSGALG00000001245,SIRT6
ENSVKKG00000005073,GLUL,ENSCPBG00000015784,GLUL,ENSCPRG00005013855,GLUL,ENSGALG00000043754,GLUL
ENSVKKG00000017539,,ENSCPBG00000006202,,ENSCPRG00005005487,,ENSGALG00000002150,CPEB1
ENSVKKG00000017239,TOMM70,ENSCPBG00000003983,TOMM70,ENSCPRG00005004539,TOMM70,ENSGALG00000015285,TOMM70
ENSVKKG00000007587,,ENSCPBG00000024967,KIAA0895,ENSCPRG00005010645,KIAA0895,ENSGALG00000036301,KIAA0895
ENSVKKG00000016183,TMEM26,ENSCPBG00000024368,TMEM26,ENSCPRG00005010161,TMEM26,ENSGALG00000025862,TMEM26
ENSVKKG00000002450,PLXNA1,ENSCPBG00000014392,PLXNA1,ENSCPRG00005018072,PLXNA1,ENSGALG00000006097,PLXNA1
ENSVKKG00000010105,PAPSS1,ENSCPBG00000004089,PAPSS1,ENSCPRG00005005895,PAPSS1,ENSGALG00000010542,PAPSS1
ENSVKKG00000008512,GAREM2,ENSCPBG00000010750,GAREM2,ENSCPRG00005003295,GAREM2,ENSGALG00000048459,GAREM2
ENSVKKG00000001727,RAB11FIP4,ENSCPBG00000004593,RAB11FIP4,ENSCPRG00005002063,RAB11FIP4,ENSGALG00000003227,RAB11FIP4
ENSVKKG00000008990,,ENSCPBG00000020857,IL10RA,ENSCPRG00005000379,,ENSGALG00000032260,IL10RA
ENSVKKG00000004575,MOB2,ENSCPBG00000007474,MOB2,ENSCPRG00005016959,MOB2,ENSGALG00000030499,MOB2
ENSVKKG00000017441,CAPN9,ENSCPBG00000006230,,ENSCPRG00005017237,CAPN9,ENSGALG00000011136,CAPN9
ENSVKKG00000011338,CCM2L,ENSCPBG00000027494,CCM2L,ENSCPRG00005007754,CCM2L,ENSGALG00000006479,CCM2L
ENSVKKG00000016234,NRBF2,ENSCPBG00000015433,NRBF2,ENSCPRG00005006040,NRBF2,ENSGALG00000002959,NRBF2
ENSVKKG00000018462,PLEKHG1,ENSCPBG00000016555,PLEKHG1,ENSCPRG00005018218,PLEKHG1,ENSGALG00000012395,PLEKHG1
ENSVKKG00000014088,,ENSCPBG00000022623,,ENSCPRG00005000759,,ENSGALG00000001701,
ENSVKKG00000012812,HPRT1,ENSCPBG00000026005,HPRT1,ENSCPRG00005007972,HPRT1,ENSGALG00000006098,HPRT1
ENSVKKG00000007819,DUSP16,ENSCPBG00000000453,DUSP16,ENSCPRG00005001472,DUSP16,ENSGALG00000028155,DUSP16
ENSVKKG00000016683,CLCN3,ENSCPBG00000027218,CLCN3,ENSCPRG00005011159,CLCN3,ENSGALG00000009674,CLCN3
ENSVKKG00000010758,NOL4L,ENSCPBG00000027468,NOL4L,ENSCPRG00005007829,NOL4L,ENSGALG00000041732,NOL4L
ENSVKKG00000007293,UQCRQ,ENSCPBG00000016516,UQCRQ,ENSCPRG00005008482,,ENSGALG00000028302,UQCRQ
ENSVKKG00000004496,LTBP1,ENSCPBG00000025144,LTBP1,ENSCPRG00005012908,LTBP1,ENSGALG00000010448,LTBP1
ENSVKKG00000014171,LOXL4,ENSCPBG00000012198,LOXL4,ENSCPRG00005013693,LOXL4,ENSGALG00000013090,LOXL4
ENSVKKG00000011056,EIF1B,ENSCPBG00000000106,EIF1B,ENSCPRG00005008683,EIF1B,ENSGALG00000038646,EIF1B
ENSVKKG00000007583,ANLN,ENSCPBG00000024972,ANLN,ENSCPRG00005010663,ANLN,ENSGALG00000043642,ANLN
ENSVKKG00000016760,RFC2,ENSCPBG00000027690,RFC2,ENSCPRG00005007048,RFC2,ENSGALG00000029449,RFC2
ENSVKKG00000009039,VPS36,ENSCPBG00000000515,VPS36,ENSCPRG00005003353,VPS36,ENSGALG00000017026,VPS36
ENSVKKG00000011727,REM1,ENSCPBG00000027572,REM1,ENSCPRG00005007678,REM1,ENSGALG00000045602,
ENSVKKG00000003868,CISD1,ENSCPBG00000007861,CISD1,ENSCPRG00005009747,CISD1,ENSGALG00000002705,CISD1
ENSVKKG00000002935,HSF4,ENSCPBG00000012009,HSF4,ENSCPRG00005002652,,ENSGALG00000003224,HSF4
ENSVKKG00000007545,TIMP4,ENSCPBG00000026368,TIMP4,ENSCPRG00005019177,TIMP4,ENSGALG00000004969,TIMP4
ENSVKKG00000012717,ARHGAP17,ENSCPBG00000001643,ARHGAP17,ENSCPRG00005011559,ARHGAP17,ENSGALG00000041213,ARHGAP17
ENSVKKG00000002649,CTPS1,ENSCPBG00000015650,CTPS1,ENSCPRG00005004496,CTPS1,ENSGALG00000042967,CTPS1
ENSVKKG00000011439,,ENSCPBG00000012967,,ENSCPRG00005016360,,ENSGALG00000003572,
ENSVKKG00000018237,PIGW,ENSCPBG00000009555,PIGW,ENSCPRG00005010492,PIGW,ENSGALG00000023554,PIGW
ENSVKKG00000017416,COLEC10,ENSCPBG00000015387,COLEC10,ENSCPRG00005007648,COLEC10,ENSGALG00000033144,COLEC10
ENSVKKG00000011377,ILK,ENSCPBG00000000918,ILK,ENSCPRG00005016913,ILK,ENSGALG00000031642,ILK
ENSVKKG00000016355,GPR142,ENSCPBG00000010367,GPR142,ENSCPRG00005018403,GPR142,ENSGALG00000022536,GPR142
ENSVKKG00000003305,TMEM163,ENSCPBG00000010214,TMEM163,ENSCPRG00005003777,TMEM163,ENSGALG00000012190,TMEM163
ENSVKKG00000011417,MYLK2,ENSCPBG00000027514,MYLK2,ENSCPRG00005008307,,ENSGALG00000006273,MYLK2
ENSVKKG00000009841,,ENSCPBG00000016377,,ENSCPRG00005012139,,ENSGALG00000000593,
ENSVKKG00000013922,,ENSCPBG00000012966,,ENSCPRG00005016431,,ENSGALG00000041988,SIK1
ENSVKKG00000013526,SALL4,ENSCPBG00000014995,SALL4,ENSCPRG00005004707,SALL4,ENSGALG00000041365,SALL4
ENSVKKG00000010320,GJB5,ENSCPBG00000018713,GJB5,ENSCPRG00005000230,GJB5,ENSGALG00000054289,GJB5
ENSVKKG00000017677,PARVB,ENSCPBG00000025284,PARVB,ENSCPRG00005002922,PARVB,ENSGALG00000014201,PARVB
ENSVKKG00000000045,RRAD,ENSCPBG00000012101,RRAD,ENSCPRG00005005256,RRAD,ENSGALG00000005140,RRAD
ENSVKKG00000003985,PI4KB,ENSCPBG00000008940,PI4KB,ENSCPRG00005008633,PI4KB,ENSGALG00000024034,PI4KB
ENSVKKG00000012925,NUFIP1,ENSCPBG00000008069,NUFIP1,ENSCPRG00005001604,NUFIP1,ENSGALG00000016972,NUFIP1
ENSVKKG00000011393,MSS51,ENSCPBG00000026553,MSS51,ENSCPRG00005000047,MSS51,ENSGALG00000002597,MSS51
ENSVKKG00000004794,SMIM3,ENSCPBG00000010107,SMIM3,ENSCPRG00005012632,SMIM3,ENSGALG00000038133,SMIM3
ENSVKKG00000007730,HAS3,ENSCPBG00000027072,HAS3,ENSCPRG00005008327,HAS3,ENSGALG00000000630,HAS3
ENSVKKG00000007702,PGM2,ENSCPBG00000013737,PGM2,ENSCPRG00005005602,PGM2,ENSGALG00000039394,PGM2
ENSVKKG00000017518,,ENSCPBG00000018049,,ENSCPRG00005017236,,ENSGALG00000006949,CHD2
ENSVKKG00000016392,SLC38A10,ENSCPBG00000010435,SLC38A10,ENSCPRG00005018357,SLC38A10,ENSGALG00000006880,SLC38A10
ENSVKKG00000008918,TENT2,ENSCPBG00000027590,TENT2,ENSCPRG00005017326,TENT2,ENSGALG00000014810,TENT2
ENSVKKG00000016652,LRWD1,ENSCPBG00000027771,LRWD1,ENSCPRG00005005951,LRWD1,ENSGALG00000001852,LRWD1
ENSVKKG00000008651,IL18RAP,ENSCPBG00000007295,IL18RAP,ENSCPRG00005014366,IL18RAP,ENSGALG00000016788,IL18RAP
ENSVKKG00000000147,RB1,ENSCPBG00000008402,RB1,ENSCPRG00005002044,RB1,ENSGALG00000016997,RB1
ENSVKKG00000008098,ZSWIM5,ENSCPBG00000005247,ZSWIM5,ENSCPRG00005017762,ZSWIM5,ENSGALG00000010221,ZSWIM5
ENSVKKG00000017286,SLC35A5,ENSCPBG00000003385,SLC35A5,ENSCPRG00005004120,SLC35A5,ENSGALG00000015197,SLC35A5
ENSVKKG00000015520,GPN3,ENSCPBG00000026020,GPN3,ENSCPRG00005012008,GPN3,ENSGALG00000003807,GPN3
ENSVKKG00000009758,TYW5,ENSCPBG00000011833,TYW5,ENSCPRG00005009213,TYW5,ENSGALG00000008145,TYW5
ENSVKKG00000013867,ITGB1,ENSCPBG00000017007,ITGB1,ENSCPRG00005007200,ITGB1,ENSGALG00000007145,ITGB1
ENSVKKG00000003817,VDR,ENSCPBG00000001825,VDR,ENSCPRG00005007013,VDR,ENSGALG00000033090,VDR
ENSVKKG00000000790,RHOJ,ENSCPBG00000020422,RHOJ,ENSCPRG00005016885,RHOJ,ENSGALG00000011855,RHOJ
ENSVKKG00000012880,UNC50,ENSCPBG00000005066,UNC50,ENSCPRG00005011930,UNC50,ENSGALG00000036076,UNC50
ENSVKKG00000015971,TAL2,ENSCPBG00000020259,TAL2,ENSCPRG00005014792,TAL2,ENSGALG00000054131,TAL2
ENSVKKG00000001969,CHRNB3,ENSCPBG00000027579,CHRNB3,ENSCPRG00005014596,CHRNB3,ENSGALG00000015384,CHRNB3
ENSVKKG00000008820,KIF27,ENSCPBG00000025498,KIF27,ENSCPRG00005006887,KIF27,ENSGALG00000012588,KIF27
ENSVKKG00000007887,DGKG,ENSCPBG00000007308,DGKG,ENSCPRG00005005031,DGKG,ENSGALG00000005721,DGKG
ENSVKKG00000017247,BRINP1,ENSCPBG00000006277,BRINP1,ENSCPRG00005013899,BRINP1,ENSGALG00000006997,BRINP1
ENSVKKG00000017590,VAPA,ENSCPBG00000028385,VAPA,ENSCPRG00005009507,VAPA,ENSGALG00000039455,VAPA
ENSVKKG00000012588,DOK1,ENSCPBG00000024689,DOK1,ENSCPRG00005011037,DOK1,ENSGALG00000035718,DOK1
ENSVKKG00000014849,,ENSCPBG00000004489,,ENSCPRG00005002003,,ENSGALG00000005209,AQP1
ENSVKKG00000012502,PSMA6,ENSCPBG00000026199,PSMA6,ENSCPRG00005003666,PSMA6,ENSGALG00000010060,PSMA6
ENSVKKG00000013831,OPTN,ENSCPBG00000027808,OPTN,ENSCPRG00005000560,OPTN,ENSGALG00000013738,OPTN
ENSVKKG00000007316,LEMD2,ENSCPBG00000025501,LEMD2,ENSCPRG00005014114,LEMD2,ENSGALG00000002870,LEMD2
ENSVKKG00000014328,TCF7,ENSCPBG00000007623,TCF7,ENSCPRG00005010397,,ENSGALG00000006480,TCF7
ENSVKKG00000017497,SPG21,ENSCPBG00000019655,SPG21,ENSCPRG00005000063,SPG21,ENSGALG00000007262,SPG21
ENSVKKG00000013783,SINHCAF,ENSCPBG00000027224,SINHCAF,ENSCPRG00005017648,SINHCAF,ENSGALG00000012946,FAM60A
ENSVKKG00000005113,VGLL2,ENSCPBG00000018846,VGLL2,ENSCPRG00005004268,VGLL2,ENSGALG00000014917,VGLL2
ENSVKKG00000018630,CAV3,ENSCPBG00000014797,CAV3,ENSCPRG00005012711,CAV3,ENSGALG00000008351,CAV3
ENSVKKG00000004834,VANGL2,ENSCPBG00000025627,VANGL2,ENSCPRG00005013730,VANGL2,ENSGALG00000030643,VANGL2
ENSVKKG00000011219,VOPP1,ENSCPBG00000024819,VOPP1,ENSCPRG00005011565,VOPP1,ENSGALG00000042773,VOPP1
ENSVKKG00000014350,ABHD12,ENSCPBG00000017703,ABHD12,ENSCPRG00005011125,ABHD12,ENSGALG00000008525,ABHD12
ENSVKKG00000001652,DUSP28,ENSCPBG00000019189,DUSP28,ENSCPRG00005009183,DUSP28,ENSGALG00000000399,DUSP28
ENSVKKG00000006861,ADGRL4,ENSCPBG00000016946,ADGRL4,ENSCPRG00005017183,ADGRL4,ENSGALG00000008890,ADGRL4
ENSVKKG00000000577,QSER1,ENSCPBG00000006696,QSER1,ENSCPRG00005006635,QSER1,ENSGALG00000012030,QSER1
ENSVKKG00000011933,PHF21A,ENSCPBG00000012630,PHF21A,ENSCPRG00005011871,PHF21A,ENSGALG00000008403,PHF21A
ENSVKKG00000007486,RBPJ,ENSCPBG00000027973,RBPJ,ENSCPRG00005005213,RBPJ,ENSGALG00000014365,RBPJ
ENSVKKG00000005057,GABRA1,ENSCPBG00000008120,GABRA1,ENSCPRG00005006943,GABRA1,ENSGALG00000001698,GABRA1
ENSVKKG00000005009,KLHL34,ENSCPBG00000006220,KLHL34,ENSCPRG00005004072,KLHL34,ENSGALG00000016388,KLHL34
ENSVKKG00000001278,TMEM127,ENSCPBG00000022541,TMEM127,ENSCPRG00005012912,,ENSGALG00000033092,TMEM127
ENSVKKG00000010005,USP49,ENSCPBG00000017442,USP49,ENSCPRG00005011370,USP49,ENSGALG00000003461,USP49
ENSVKKG00000008390,,ENSCPBG00000007232,,ENSCPRG00005010236,,ENSGALG00000002395,
ENSVKKG00000016289,RPUSD1,ENSCPBG00000021101,RPUSD1,ENSCPRG00005014953,RPUSD1,ENSGALG00000005315,RPUSD1
ENSVKKG00000000575,FABP4,ENSCPBG00000007291,FABP4,ENSCPRG00005000498,FABP4,ENSGALG00000030025,FABP4
ENSVKKG00000007435,NGF,ENSCPBG00000016785,NGF,ENSCPRG00005014402,NGF,ENSGALG00000002556,NGF
ENSVKKG00000018356,ADRA1D,ENSCPBG00000024606,ADRA1D,ENSCPRG00005018848,ADRA1D,ENSGALG00000038787,ADRA1D
ENSVKKG00000004535,SLC25A29,ENSCPBG00000006613,SLC25A29,ENSCPRG00005010489,SLC25A29,ENSGALG00000011220,SLC25A29
ENSVKKG00000011308,XPO6,ENSCPBG00000024660,XPO6,ENSCPRG00005002277,XPO6,ENSGALG00000035360,XPO6
ENSVKKG00000004926,AGAP3,ENSCPBG00000012203,AGAP3,ENSCPRG00005000491,AGAP3,ENSGALG00000043576,AGAP3
ENSVKKG00000017509,QSOX2,ENSCPBG00000012142,QSOX2,ENSCPRG00005009358,QSOX2,ENSGALG00000001758,QSOX2
ENSVKKG00000005321,BEST1,ENSCPBG00000017864,BEST1,ENSCPRG00005009113,BEST1,ENSGALG00000007217,BEST1
ENSVKKG00000018057,CHIC2,ENSCPBG00000025032,CHIC2,ENSCPRG00005010298,CHIC2,ENSGALG00000013931,CHIC2
ENSVKKG00000008095,UROD,ENSCPBG00000005226,UROD,ENSCPRG00005017736,UROD,ENSGALG00000010219,UROD
ENSVKKG00000011767,SCRT2,ENSCPBG00000027613,SCRT2,ENSCPRG00005007655,SCRT2,ENSGALG00000028912,SCRT2
ENSVKKG00000015825,AQP2,ENSCPBG00000017910,,ENSCPRG00005005189,AQP2,ENSGALG00000037878,AQP2
ENSVKKG00000003308,USP45,ENSCPBG00000003656,USP45,ENSCPRG00005000289,USP45,ENSGALG00000015478,USP45
ENSVKKG00000016198,MLC1,ENSCPBG00000021296,MLC1,ENSCPRG00005011313,MLC1,ENSGALG00000040038,MLC1
ENSVKKG00000010796,TTC39A,ENSCPBG00000010051,TTC39A,ENSCPRG00005000251,TTC39A,ENSGALG00000010540,TTC39A
ENSVKKG00000005928,SORT1,ENSCPBG00000012337,SORT1,ENSCPRG00005003971,SORT1,ENSGALG00000033572,SORT1
ENSVKKG00000008619,NCOA4,ENSCPBG00000007614,NCOA4,ENSCPRG00005010393,NCOA4,ENSGALG00000002066,NCOA4
ENSVKKG00000002409,SGIP1,ENSCPBG00000001245,SGIP1,ENSCPRG00005011289,SGIP1,ENSGALG00000011113,SGIP1
ENSVKKG00000013473,ADAM28,ENSCPBG00000002623,ADAM28,ENSCPRG00005014210,ADAM28,ENSGALG00000000357,
ENSVKKG00000008293,THRAP3,ENSCPBG00000018530,THRAP3,ENSCPRG00005002448,THRAP3,ENSGALG00000002144,THRAP3
ENSVKKG00000009282,AKIRIN2,ENSCPBG00000019906,AKIRIN2,ENSCPRG00005016831,AKIRIN2,ENSGALG00000015791,AKIRIN2
ENSVKKG00000017515,MESD,ENSCPBG00000007723,MESD,ENSCPRG00005016375,MESD,ENSGALG00000006403,MESDC2
ENSVKKG00000015435,CAPG,ENSCPBG00000001419,CAPG,ENSCPRG00005012882,CAPG,ENSGALG00000036175,CAPG
ENSVKKG00000018720,,ENSCPBG00000025163,,ENSCPRG00005012804,,ENSGALG00000035217,
ENSVKKG00000005240,PACRGL,ENSCPBG00000027917,PACRGL,ENSCPRG00005004777,PACRGL,ENSGALG00000014406,PACRGL
ENSVKKG00000003213,ZNRF3,ENSCPBG00000027210,ZNRF3,ENSCPRG00005010206,ZNRF3,ENSGALG00000005803,ZNRF3
ENSVKKG00000009819,WNT2B,ENSCPBG00000021251,WNT2B,ENSCPRG00005015805,WNT2B,ENSGALG00000034196,WNT2B
ENSVKKG00000007823,PPP1R17,ENSCPBG00000013658,PPP1R17,ENSCPRG00005009929,PPP1R17,ENSGALG00000036390,PPP1R17
ENSVKKG00000006336,CLCN4,ENSCPBG00000021337,CLCN4,ENSCPRG00005006604,CLCN4,ENSGALG00000016607,CLCN4
ENSVKKG00000010703,TDRD15,ENSCPBG00000020009,TDRD15,ENSCPRG00005004718,TDRD15,ENSGALG00000016492,TDRD15
ENSVKKG00000012524,,ENSCPBG00000026201,TTC6,ENSCPRG00005003845,,ENSGALG00000010137,
ENSVKKG00000015164,LHFPL4,ENSCPBG00000009258,LHFPL4,ENSCPRG00005016996,LHFPL4,ENSGALG00000048164,LHFPL4
ENSVKKG00000001843,MDGA1,ENSCPBG00000025341,MDGA1,ENSCPRG00005010199,MDGA1,ENSGALG00000010145,MDGA1
ENSVKKG00000008499,,ENSCPBG00000001496,WTIP,ENSCPRG00005004599,WTIP,ENSGALG00000025864,WTIP
ENSVKKG00000012914,GTF2F2,ENSCPBG00000008086,GTF2F2,ENSCPRG00005001658,GTF2F2,ENSGALG00000016974,GTF2F2
ENSVKKG00000018339,SLC4A11,ENSCPBG00000024543,SLC4A11,ENSCPRG00005018809,SLC4A11,ENSGALG00000016017,SLC4A11
ENSVKKG00000014957,PDHB,ENSCPBG00000003822,PDHB,ENSCPRG00005016540,PDHB,ENSGALG00000029576,PDHB
ENSVKKG00000006007,GEMIN8,ENSCPBG00000015720,GEMIN8,ENSCPRG00005006099,GEMIN8,ENSGALG00000016574,GEMIN8
ENSVKKG00000007015,,ENSCPBG00000009858,FGF22,ENSCPRG00005015019,FGF22,ENSGALG00000041822,FGF22
ENSVKKG00000013110,,ENSCPBG00000005988,,ENSCPRG00005000119,,ENSGALG00000038681,
ENSVKKG00000000046,PCGF6,ENSCPBG00000024492,PCGF6,ENSCPRG00005012695,PCGF6,ENSGALG00000008230,PCGF6
ENSVKKG00000011783,GLIS3,ENSCPBG00000025474,GLIS3,ENSCPRG00005004466,GLIS3,ENSGALG00000010180,GLIS3
ENSVKKG00000009943,HEBP1,ENSCPBG00000020964,HEBP1,ENSCPRG00005001346,HEBP1,ENSGALG00000011798,HEBP1
