eggnog_name,chicken_102_gene_id,chicken_110_gene_id,turtle_3_gene_id,komodo_gene_id,crocodile_gene_id
CCDC83,ENSGALG00000013247,ENSGALG00010008119,ENSCPBG00000006650,ENSVKKG00000002108,ENSCPRG00005016129
CCDC84,ENSGALG00000007689,ENSGALG00010024849,ENSCPBG00000004368,ENSVKKG00000003593,ENSCPRG00005006838
CCDC85A,ENSGALG00000043080,ENSGALG00010018897,ENSCPBG00000001025,ENSVKKG00000010662,ENSCPRG00005013778
CCDC85C,ENSGALG00000011139,ENSGALG00010016387,"{'ENSCPBG00000015529', 'ENSCPBG00000023382', 'ENSCPBG00000024077'}","{'ENSVKKG00000001051', 'ENSVKKG00000004477'}",ENSCPRG00005010239
CCDC86,ENSGALG00000036935,,,ENSVKKG00000002446,
CCDC87,ENSGALG00000050539,ENSGALG00010000577,ENSCPBG00000023806,ENSVKKG00000014291,ENSCPRG00005013631
CCDC88A,ENSGALG00000043587,ENSGALG00010016835,"{'ENSCPBG00000020884', 'ENSCPBG00000020887'}",ENSVKKG00000010651,ENSCPRG00005013865
CCDC88C,ENSGALG00000040156,ENSGALG00010016912,ENSCPBG00000008641,ENSVKKG00000016477,ENSCPRG00005007918
CCDC89,ENSGALG00000037520,ENSGALG00010008102,ENSCPBG00000006691,ENSVKKG00000002113,
CCDC90B,ENSGALG00000037072,ENSGALG00010008012,ENSCPBG00000006821,ENSVKKG00000002131,ENSCPRG00005016161
CCDC91,ENSGALG00000031666,ENSGALG00010022274,ENSCPBG00000000759,ENSVKKG00000007807,ENSCPRG00005001261
CCDC92,ENSGALG00000003146,ENSGALG00010024654,ENSCPBG00000025944,ENSVKKG00000013398,ENSCPRG00005018097
CCDC92B,ENSGALG00000028283,ENSGALG00010029247,ENSCPBG00000014094,ENSVKKG00000016864,ENSCPRG00005009027
CCDC93,ENSGALG00000012129,ENSGALG00010020963,ENSCPBG00000010511,ENSVKKG00000003204,ENSCPRG00005003409
CCDC94,ENSGALG00000041520,ENSGALG00010027116,ENSCPBG00000011090,ENSVKKG00000016947,ENSCPRG00005008776
CCDC97,ENSGALG00000032223,ENSGALG00010008331,ENSCPBG00000009312,ENSVKKG00000012766,
CCK,ENSGALG00000029788,ENSGALG00010016489,ENSCPBG00000023324,ENSVKKG00000003128,ENSCPRG00005008674
CCKAR,ENSGALG00000030801,ENSGALG00010010732,ENSCPBG00000027976,ENSVKKG00000007488,ENSCPRG00005005217
CCKBR,ENSGALG00000039837,ENSGALG00010001558,ENSCPBG00000017262,ENSVKKG00000016850,ENSCPRG00005017010
CCL1,ENSGALG00000002329,ENSGALG00010029635,ENSCPBG00000002758,,
CCL17,ENSGALG00000024466,ENSGALG00010022208,,,
CCL18,ENSGALG00000053868,ENSGALG00010029551,,,
CCL19,ENSGALG00000028256,ENSGALG00010010889,ENSCPBG00000017957,ENSVKKG00000016104,
CCL20,ENSGALG00000003003,ENSGALG00010023872,"{'ENSCPBG00000019597', 'ENSCPBG00000019594'}",ENSVKKG00000011845,ENSCPRG00005004140
CCL21,ENSGALG00000046192,ENSGALG00010010893,ENSCPBG00000017954,,
CCL4,"{'ENSGALG00000032717', 'ENSGALG00000034478'}","{'ENSGALG00010029945', 'ENSGALG00010029562'}","{'ENSCPBG00000009767', 'ENSCPBG00000009797'}",,ENSCPRG00005006763
CCL5,ENSGALG00000043603,ENSGALG00010029947,ENSCPBG00000009887,ENSVKKG00000003621,ENSCPRG00005006765
CCL8,"{'ENSGALG00000014585', 'ENSGALG00000049551', 'ENSGALG00000054196', 'ENSGALG00000053121'}","{'ENSGALG00010029635', 'ENSGALG00010029641', 'ENSGALG00010029962', 'ENSGALG00010029639'}",ENSCPBG00000009791,"{'ENSVKKG00000004517', 'ENSVKKG00000003617'}",
CCLI5,ENSGALG00000024470,ENSGALG00010029956,,,
CCM2,ENSGALG00000005612,ENSGALG00010025345,ENSCPBG00000015334,ENSVKKG00000008737,ENSCPRG00005003010
CCM2L,ENSGALG00000006479,ENSGALG00010015633,ENSCPBG00000027494,ENSVKKG00000011338,ENSCPRG00005007754
CCNA1,ENSGALG00000017052,ENSGALG00010006366,ENSCPBG00000003264,ENSVKKG00000001324,ENSCPRG00005005315
CCNA2,ENSGALG00000011881,ENSGALG00010005217,ENSCPBG00000024712,ENSVKKG00000005650,ENSCPRG00005004544
CCNB2,ENSGALG00000004161,ENSGALG00010022881,ENSCPBG00000010694,ENSVKKG00000017352,ENSCPRG00005009430
CCNB3,ENSGALG00000025810,ENSGALG00010015390,"{'ENSCPBG00000010530', 'ENSCPBG00000006070'}",ENSVKKG00000018331,
CCNC,ENSGALG00000015471,ENSGALG00010004238,ENSCPBG00000003793,ENSVKKG00000003135,ENSCPRG00005000316
CCND1,ENSGALG00000007555,ENSGALG00010025419,ENSCPBG00000011823,ENSVKKG00000013903,ENSCPRG00005009618
CCND2,ENSGALG00000017283,ENSGALG00010024285,ENSCPBG00000009642,,ENSCPRG00005013348
CCND3,ENSGALG00000003485,ENSGALG00010026588,ENSCPBG00000017438,ENSVKKG00000010011,ENSCPRG00005011340
CCNDBP1,ENSGALG00000004837,ENSGALG00010024512,ENSCPBG00000026798,ENSVKKG00000009495,
CCNE1,ENSGALG00000004494,ENSGALG00010024008,ENSCPBG00000016144,ENSVKKG00000011569,ENSCPRG00005004111
CCNE2,ENSGALG00000040794,ENSGALG00010012428,ENSCPBG00000006253,ENSVKKG00000009567,ENSCPRG00005002549
CCNF,ENSGALG00000038502,"{'ENSGALG00010018881', 'ENSGALG00010017595'}",ENSCPBG00000000833,,ENSCPRG00005000914
CCNG1,ENSGALG00000001718,ENSGALG00010009743,ENSCPBG00000008147,ENSVKKG00000005211,ENSCPRG00005006687
CCNG2,ENSGALG00000010347,ENSGALG00010008214,ENSCPBG00000019409,ENSVKKG00000009665,ENSCPRG00005001361
CCNH,ENSGALG00000015641,ENSGALG00010005887,ENSCPBG00000010650,ENSVKKG00000011643,ENSCPRG00005002621
CCNI,ENSGALG00000011457,ENSGALG00010002678,ENSCPBG00000019412,ENSVKKG00000009663,ENSCPRG00005006776
CCNI2,ENSGALG00000023812,ENSGALG00010016375,ENSCPBG00000016497,ENSVKKG00000011857,ENSCPRG00005008513
CCNJ,"{'ENSGALG00000006955', 'ENSGALG00000040152'}","{'ENSGALG00010009151', 'ENSGALG00010021633'}",ENSCPBG00000023791,ENSVKKG00000002882,ENSCPRG00005013862
CCNJL,ENSGALG00000040152,ENSGALG00010009151,ENSCPBG00000008032,ENSVKKG00000004709,ENSCPRG00005007058
CCNK,ENSGALG00000011138,ENSGALG00010016368,ENSCPBG00000024080,ENSVKKG00000004472,ENSCPRG00005010226
CCNL1,ENSGALG00000009699,ENSGALG00010001495,ENSCPBG00000018400,ENSVKKG00000006302,ENSCPRG00005007539
CCNL2,ENSGALG00000001551,ENSGALG00010017791,ENSCPBG00000022903,ENSVKKG00000014096,ENSCPRG00005000584
CCNO,ENSGALG00000028595,ENSGALG00010013928,ENSCPBG00000026557,ENSVKKG00000002214,ENSCPRG00005016853
CCNT1,ENSGALG00000047646,ENSGALG00010023074,ENSCPBG00000019975,ENSVKKG00000003802,ENSCPRG00005001632
CCNT2,"{'ENSGALG00000012207', 'ENSGALG00000046969'}",ENSGALG00010019587,ENSCPBG00000010223,ENSVKKG00000003313,"{'ENSCPRG00005003794', 'ENSCPRG00005003790'}"
CCNY,ENSGALG00000007076,ENSGALG00010004394,ENSCPBG00000017038,ENSVKKG00000013847,ENSCPRG00005006903
CCNYL1,ENSGALG00000008485,,ENSCPBG00000020210,ENSVKKG00000018535,ENSCPRG00005001990
CCP110,ENSGALG00000006925,ENSGALG00010021058,ENSCPBG00000010958,ENSVKKG00000007061,ENSCPRG00005007346
CCPG1,ENSGALG00000004387,ENSGALG00010021686,ENSCPBG00000004161,ENSVKKG00000017529,ENSCPRG00005011744
CCR1,ENSGALG00000037077,ENSGALG00010017278,,,ENSCPRG00005008063
CCR10,ENSGALG00000028519,ENSGALG00010021440,ENSCPBG00000016511,ENSVKKG00000016973,ENSCPRG00005008098
CCR2,ENSGALG00000050893,ENSGALG00010017351,"{'ENSCPBG00000023101', 'ENSCPBG00000023104', 'ENSCPBG00000023099', 'ENSCPBG00000023100', 'ENSCPBG00000023108'}",ENSVKKG00000018081,ENSCPRG00005008066
CCR4,ENSGALG00000039146,ENSGALG00010017022,ENSCPBG00000000244,ENSVKKG00000018018,ENSCPRG00005008797
CCR6,ENSGALG00000011418,ENSGALG00010006499,"{'ENSCPBG00000012565', 'ENSCPBG00000012574'}",ENSVKKG00000003459,ENSCPRG00005017488
CCR7,ENSGALG00000035733,ENSGALG00010022529,ENSCPBG00000005728,ENSVKKG00000013623,ENSCPRG00005003131
CCR8,ENSGALG00000038069,ENSGALG00010016948,"{'ENSCPBG00000000222', 'ENSCPBG00000000228'}",,ENSCPRG00005008765
CCR8L,ENSGALG00000011734,ENSGALG00010017396,,,
CCR9,ENSGALG00000011808,ENSGALG00010017455,ENSCPBG00000023131,,ENSCPRG00005008135
CCRN4L,ENSGALG00000032957,ENSGALG00010008469,ENSCPBG00000027624,ENSVKKG00000002837,ENSCPRG00005008118
CCS,ENSGALG00000048002,ENSGALG00010000583,ENSCPBG00000023807,ENSVKKG00000014292,ENSCPRG00005013629
CCSAP,ENSGALG00000011084,ENSGALG00010010279,ENSCPBG00000006125,ENSVKKG00000017427,ENSCPRG00005017169
CCSER1,ENSGALG00000010392,ENSGALG00010008488,ENSCPBG00000004885,ENSVKKG00000011063,ENSCPRG00005012983
CCSER2,ENSGALG00000037682,ENSGALG00010010267,ENSCPBG00000005786,ENSVKKG00000008650,ENSCPRG00005010649
CCT2,ENSGALG00000009975,ENSGALG00010011871,ENSCPBG00000013364,ENSVKKG00000001528,ENSCPRG00005006898
CCT3,"{'ENSGALG00000039205', 'ENSGALG00000048034'}",ENSGALG00010028186,ENSCPBG00000025861,ENSVKKG00000008664,
CCT4,ENSGALG00000008812,ENSGALG00010018527,ENSCPBG00000026253,ENSVKKG00000007991,ENSCPRG00005013168
CCT5,ENSGALG00000013041,ENSGALG00010000592,ENSCPBG00000006758,ENSVKKG00000004350,ENSCPRG00005014871
CCT6A,ENSGALG00000002448,ENSGALG00010029653,ENSCPBG00000014876,ENSVKKG00000003851,ENSCPRG00005007856
CCT7,ENSGALG00000016088,ENSGALG00010018163,ENSCPBG00000024515,ENSVKKG00000018320,ENSCPRG00005018781
CCT8,ENSGALG00000015821,ENSGALG00010010077,ENSCPBG00000006647,ENSVKKG00000010466,ENSCPRG00005013638
CCZ1,ENSGALG00000003458,ENSGALG00010021827,ENSCPBG00000019986,ENSVKKG00000007891,ENSCPRG00005005048
CD109,ENSGALG00000015910,ENSGALG00010001508,ENSCPBG00000023961,ENSVKKG00000018740,ENSCPRG00005013290
CD14,ENSGALG00000039140,ENSGALG00010011659,ENSCPBG00000007645,ENSVKKG00000006976,
CD151,ENSGALG00000006856,ENSGALG00010023041,ENSCPBG00000007117,ENSVKKG00000004455,ENSCPRG00005015221
CD163,"{'ENSGALG00000045285', 'ENSGALG00000049092', 'ENSGALG00000051102', 'ENSGALG00000045562', 'ENSGALG00000054162', 'ENSGALG00000041718', 'ENSGALG00000048816', 'ENSGALG00000050439', 'ENSGALG00000051033', 'ENSGALG00000049417'}","{'ENSGALG00010024228', 'ENSGALG00010001766', 'ENSGALG00010001816', 'ENSGALG00010010628', 'ENSGALG00010001560'}","{'ENSCPBG00000007296', 'ENSCPBG00000006717', 'ENSCPBG00000016171', 'ENSCPBG00000012865', 'ENSCPBG00000000368', 'ENSCPBG00000002829', 'ENSCPBG00000008553'}",,
CD164,ENSGALG00000053917,ENSGALG00010014156,ENSCPBG00000006349,ENSVKKG00000005375,ENSCPRG00005001741
CD164L2,ENSGALG00000041752,ENSGALG00010016825,ENSCPBG00000024894,ENSVKKG00000005528,ENSCPRG00005003266
CD180,ENSGALG00000023411,ENSGALG00010010411,ENSCPBG00000026881,ENSVKKG00000008882,
CD1E,"{'ENSGALG00000043052', 'ENSGALG00000030270'}","{'ENSGALG00010003250', 'ENSGALG00010003836'}","{'ENSCPBG00000001041', 'ENSCPBG00000009490', 'ENSCPBG00000014679', 'ENSCPBG00000005314', 'ENSCPBG00000004846', 'ENSCPBG00000005685', 'ENSCPBG00000017322', 'ENSCPBG00000009946', 'ENSCPBG00000009499', 'ENSCPBG00000004838', 'ENSCPBG00000014685'}",,
CD2,ENSGALG00000053667,ENSGALG00010008268,"{'ENSCPBG00000009893', 'ENSCPBG00000026791', 'ENSCPBG00000009895'}",,
CD200,"{'ENSGALG00000015395', 'ENSGALG00000045596', 'ENSGALG00000015396'}","{'ENSGALG00010004479', 'ENSGALG00010007321', 'ENSGALG00010006180'}","{'ENSCPBG00000005492', 'ENSCPBG00000005481', 'ENSCPBG00000004183'}",ENSVKKG00000012537,"{'ENSCPRG00005009754', 'ENSCPRG00005009759', 'ENSCPRG00005009763'}"
CD200R1,"{'ENSGALG00000015191', 'ENSGALG00000019231'}","{'ENSGALG00010007265', 'ENSGALG00010007578', 'ENSGALG00010005233'}","{'ENSCPBG00000003309', 'ENSCPBG00000006905', 'ENSCPBG00000006898', 'ENSCPBG00000003523', 'ENSCPBG00000003320'}",ENSVKKG00000017292,"{'ENSCPRG00005004099', 'ENSCPRG00005004109', 'ENSCPRG00005011564'}"
CD226,ENSGALG00000013748,ENSGALG00010001162,ENSCPBG00000028425,ENSVKKG00000017634,ENSCPRG00005006419
CD24,ENSGALG00000035599,ENSGALG00010012582,,,
CD244,"{'ENSGALG00000040002', 'ENSGALG00000051628'}",ENSGALG00010027624,"{'ENSCPBG00000026406', 'ENSCPBG00000026400', 'ENSCPBG00000026409', 'ENSCPBG00000009090', 'ENSCPBG00000026408'}",,ENSCPRG00005013740
CD247,ENSGALG00000015441,ENSGALG00010008142,ENSCPBG00000006042,ENSVKKG00000012112,ENSCPRG00005011140
CD274,ENSGALG00000015032,ENSGALG00010012871,ENSCPBG00000025486,,ENSCPRG00005004356
CD276,ENSGALG00000001729,ENSGALG00010021650,ENSCPBG00000002269,ENSVKKG00000004295,ENSCPRG00005006424
CD28,ENSGALG00000008669,ENSGALG00010021995,ENSCPBG00000008786,,ENSCPRG00005001690
CD2AP,ENSGALG00000016720,ENSGALG00010008394,ENSCPBG00000021651,ENSVKKG00000012288,ENSCPRG00005000439
CD300LG,ENSGALG00000007713,ENSGALG00010029660,,,
CD320,ENSGALG00000021688,ENSGALG00010028482,ENSCPBG00000017070,ENSVKKG00000015721,ENSCPRG00005013031
CD34,ENSGALG00000001177,ENSGALG00010027183,ENSCPBG00000025240,ENSVKKG00000009749,ENSCPRG00005000167
CD36,ENSGALG00000008439,ENSGALG00010008392,ENSCPBG00000026703,ENSVKKG00000018461,ENSCPRG00005014781
CD38,ENSGALG00000014508,ENSGALG00010010505,ENSCPBG00000017997,ENSVKKG00000001970,ENSCPRG00005004324
CD3D,ENSGALG00000007418,ENSGALG00010023743,ENSCPBG00000020881,ENSVKKG00000009009,ENSCPRG00005000171
CD3E,ENSGALG00000007416,ENSGALG00010023715,ENSCPBG00000020880,,ENSCPRG00005000181
CD4,ENSGALG00000014477,ENSGALG00010023331,ENSCPBG00000027689,,
CD40,ENSGALG00000007015,ENSGALG00010013112,ENSCPBG00000026807,,ENSCPRG00005008381
CD40LG,ENSGALG00000006415,ENSGALG00010016205,"{'ENSCPBG00000026100', 'ENSCPBG00000026101'}",ENSVKKG00000014424,ENSCPRG00005008580
CD44,ENSGALG00000039080,ENSGALG00010024974,ENSCPBG00000012532,ENSVKKG00000011706,"{'ENSCPRG00005011008', 'ENSCPRG00005011010'}"
CD47,ENSGALG00000015355,ENSGALG00010004736,ENSCPBG00000004681,ENSVKKG00000017217,ENSCPRG00005010360
CD5,ENSGALG00000031735,ENSGALG00010019580,ENSCPBG00000027080,,
CD55,ENSGALG00000031149,"{'ENSGALG00010027157', 'ENSGALG00010027890'}","{'ENSCPBG00000002117', 'ENSCPBG00000013380', 'ENSCPBG00000003767', 'ENSCPBG00000002195', 'ENSCPBG00000004584', 'ENSCPBG00000002530', 'ENSCPBG00000022664', 'ENSCPBG00000022679', 'ENSCPBG00000022666', 'ENSCPBG00000022674', 'ENSCPBG00000016771'}",ENSVKKG00000009734,
CD59,ENSGALG00000040371,ENSGALG00010024802,"{'ENSCPBG00000005326', 'ENSCPBG00000012499'}",,ENSCPRG00005009843
CD5L,"{'ENSGALG00000047807', 'ENSGALG00000047283', 'ENSGALG00000044326', 'ENSGALG00000046331', 'ENSGALG00000053187', 'ENSGALG00000046217'}","{'ENSGALG00010004995', 'ENSGALG00010004765', 'ENSGALG00010005011', 'ENSGALG00010004990', 'ENSGALG00010004705', 'ENSGALG00010004852'}","{'ENSCPBG00000003062', 'ENSCPBG00000008218', 'ENSCPBG00000008222', 'ENSCPBG00000009832', 'ENSCPBG00000009463', 'ENSCPBG00000006355', 'ENSCPBG00000008227', 'ENSCPBG00000008186', 'ENSCPBG00000021476'}",,
CD6,ENSGALG00000043016,ENSGALG00010019520,ENSCPBG00000027077,ENSVKKG00000003904,
CD63,ENSGALG00000055094,ENSGALG00010022923,ENSCPBG00000020129,ENSVKKG00000008175,
CD7,ENSGALG00000049024,"{'ENSGALG00010009685', 'ENSGALG00010009701', 'ENSGALG00010029158'}",ENSCPBG00000027949,,ENSCPRG00005007378
CD72,"{'ENSGALG00000021353', 'ENSGALG00000005194', 'ENSGALG00000002383'}","{'ENSGALG00010009125', 'ENSGALG00010009353', 'ENSGALG00010009096'}",,,
CD74,ENSGALG00000004594,ENSGALG00010013450,ENSCPBG00000010082,"{'ENSVKKG00000003594', 'ENSVKKG00000003592'}",ENSCPRG00005012582
CD79B,ENSGALG00000000251,ENSGALG00010023621,ENSCPBG00000009124,ENSVKKG00000016137,ENSCPRG00005000788
CD80,ENSGALG00000015474,ENSGALG00010007894,ENSCPBG00000006194,ENSVKKG00000012088,ENSCPRG00005011300
CD81,ENSGALG00000006546,ENSGALG00010024552,ENSCPBG00000021060,ENSVKKG00000004708,ENSCPRG00005017019
CD82,ENSGALG00000038217,ENSGALG00010021703,ENSCPBG00000012593,"{'ENSVKKG00000013346', 'ENSVKKG00000011863'}",ENSCPRG00005011637
CD83,ENSGALG00000046032,ENSGALG00010010874,ENSCPBG00000022357,ENSVKKG00000010595,ENSCPRG00005002774
CD86,ENSGALG00000014362,ENSGALG00010021372,,,ENSCPRG00005012376
CD8A,"{'ENSGALG00000053568', 'ENSGALG00000044327', 'ENSGALG00000038559', 'ENSGALG00000048572', 'ENSGALG00000050528', 'ENSGALG00000044218', 'ENSGALG00000052285', 'ENSGALG00000047967', 'ENSGALG00000038918', 'ENSGALG00000043848', 'ENSGALG00000046567', 'ENSGALG00000051050', 'ENSGALG00000043996', 'ENSGALG00000048617', 'ENSGALG00000048858', 'ENSGALG00000015900', 'ENSGALG00000052476', 'ENSGALG00000047372', 'ENSGALG00000048382', 'ENSGALG00000045876', 'ENSGALG00000044755'}","{'ENSGALG00010017138', 'ENSGALG00010017047', 'ENSGALG00010017342', 'ENSGALG00010017274', 'ENSGALG00010017186', 'ENSGALG00010017134', 'ENSGALG00010017027', 'ENSGALG00010017209', 'ENSGALG00010017088', 'ENSGALG00010017306', 'ENSGALG00010017330', 'ENSGALG00010016963', 'ENSGALG00010017320', 'ENSGALG00010017237', 'ENSGALG00010019200', 'ENSGALG00010016950', 'ENSGALG00010017102', 'ENSGALG00010017197', 'ENSGALG00010017353', 'ENSGALG00010017149', 'ENSGALG00010017062', 'ENSGALG00010017071', 'ENSGALG00010017260', 'ENSGALG00010017294', 'ENSGALG00010017079', 'ENSGALG00010019193', 'ENSGALG00010017114', 'ENSGALG00010017224', 'ENSGALG00010017160', 'ENSGALG00010019182'}","{'ENSCPBG00000004937', 'ENSCPBG00000001285', 'ENSCPBG00000003118'}",ENSVKKG00000016499,ENSCPRG00005000438
CD8B,ENSGALG00000015902,ENSGALG00010017365,ENSCPBG00000001338,,ENSCPRG00005000430
CD9,ENSGALG00000017274,ENSGALG00010024600,ENSCPBG00000007985,ENSVKKG00000007802,ENSCPRG00005000601
CD93,ENSGALG00000008359,ENSGALG00010019399,ENSCPBG00000023422,ENSVKKG00000004354,
CD99,ENSGALG00000024488,ENSGALG00010002338,ENSCPBG00000010364,ENSVKKG00000010240,ENSCPRG00005007084
CD99L2,ENSGALG00000009075,ENSGALG00010011441,ENSCPBG00000020801,ENSVKKG00000010850,ENSCPRG00005006210
CDA,ENSGALG00000007382,ENSGALG00010020861,ENSCPBG00000023627,ENSVKKG00000009347,ENSCPRG00005018536
CDADC1,ENSGALG00000017004,ENSGALG00010004002,ENSCPBG00000008499,,ENSCPRG00005002171
CDC123,ENSGALG00000014038,ENSGALG00010006015,ENSCPBG00000027813,ENSVKKG00000013838,ENSCPRG00005000731
CDC14A,ENSGALG00000005248,ENSGALG00010023710,ENSCPBG00000026641,ENSVKKG00000002990,ENSCPRG00005014462
CDC14B,ENSGALG00000012627,ENSGALG00010010844,,ENSVKKG00000008573,ENSCPRG00005010138
CDC16,ENSGALG00000016816,ENSGALG00010014001,ENSCPBG00000022855,ENSVKKG00000008742,ENSCPRG00005016180
CDC20,ENSGALG00000009971,ENSGALG00010022702,ENSCPBG00000002826,ENSVKKG00000003748,ENSCPRG00005017319
CDC20B,ENSGALG00000046188,ENSGALG00010015114,,,ENSCPRG00005016828
CDC23,ENSGALG00000007610,ENSGALG00010014131,ENSCPBG00000022077,ENSVKKG00000015255,ENSCPRG00005014832
CDC25A,ENSGALG00000038469,ENSGALG00010027269,ENSCPBG00000015210,ENSVKKG00000008713,ENSCPRG00005001747
CDC25B,ENSGALG00000054336,,ENSCPBG00000019870,ENSVKKG00000018302,
CDC26,ENSGALG00000053517,ENSGALG00010027950,ENSCPBG00000019133,ENSVKKG00000016952,ENSCPRG00005011764
CDC27,ENSGALG00000000596,ENSGALG00010024770,ENSCPBG00000026688,ENSVKKG00000012625,ENSCPRG00005008177
CDC34,ENSGALG00000024332,ENSGALG00010028473,ENSCPBG00000010278,ENSVKKG00000002717,ENSCPRG00005014900
CDC37,ENSGALG00000048930,ENSGALG00010002472,ENSCPBG00000005363,ENSVKKG00000012572,
CDC37L1,ENSGALG00000014448,ENSGALG00010011133,ENSCPBG00000025479,ENSVKKG00000012025,ENSCPRG00005004396
CDC40,ENSGALG00000015061,ENSGALG00010013976,ENSCPBG00000006444,ENSVKKG00000005344,ENSCPRG00005001841
CDC42,ENSGALG00000004796,ENSGALG00010021807,ENSCPBG00000010314,ENSVKKG00000007626,ENSCPRG00005014902
CDC42BPA,ENSGALG00000009158,ENSGALG00010018004,"{'ENSCPBG00000011916', 'ENSCPBG00000023693'}","{'ENSVKKG00000015698', 'ENSVKKG00000013017'}",ENSCPRG00005004049
CDC42BPB,ENSGALG00000011432,ENSGALG00010015157,ENSCPBG00000019476,ENSVKKG00000005315,ENSCPRG00005013613
CDC42EP1,ENSGALG00000038556,ENSGALG00010014159,ENSCPBG00000023069,ENSVKKG00000006478,ENSCPRG00005018960
CDC42EP3,ENSGALG00000010551,ENSGALG00010010080,ENSCPBG00000024824,ENSVKKG00000008539,ENSCPRG00005013362
CDC42EP4,ENSGALG00000023364,ENSGALG00010029487,ENSCPBG00000010270,ENSVKKG00000007021,ENSCPRG00005018467
CDC42SE1,ENSGALG00000028119,ENSGALG00010028590,ENSCPBG00000008784,ENSVKKG00000004004,
CDC42SE2,ENSGALG00000027258,ENSGALG00010009492,ENSCPBG00000020323,ENSVKKG00000008317,ENSCPRG00005010447
CDC45,ENSGALG00000001616,ENSGALG00010024480,ENSCPBG00000010632,ENSVKKG00000017128,ENSCPRG00005000539
CDC5L,ENSGALG00000016704,ENSGALG00010008120,ENSCPBG00000016346,ENSVKKG00000001901,ENSCPRG00005001067
CDC6,ENSGALG00000051645,ENSGALG00010024548,ENSCPBG00000004797,ENSVKKG00000013617,ENSCPRG00005002969
CDC7,ENSGALG00000006051,ENSGALG00010022098,ENSCPBG00000015690,ENSVKKG00000007101,ENSCPRG00005016740
CDC73,ENSGALG00000002469,ENSGALG00010012586,ENSCPBG00000010576,ENSVKKG00000003321,ENSCPRG00005000909
CDCA2,ENSGALG00000045842,ENSGALG00010018865,ENSCPBG00000002813,,ENSCPRG00005014182
CDCA3,ENSGALG00000014513,ENSGALG00010023359,ENSCPBG00000005061,ENSVKKG00000003620,ENSCPRG00005005596
CDCA4,ENSGALG00000011692,ENSGALG00010016885,ENSCPBG00000020385,ENSVKKG00000000247,
CDCA7,ENSGALG00000040833,ENSGALG00010021748,ENSCPBG00000003973,ENSVKKG00000018148,ENSCPRG00005013947
CDCA7L,ENSGALG00000035978,ENSGALG00010001440,ENSCPBG00000022440,ENSVKKG00000018007,ENSCPRG00005015926
CDCA8,"{'ENSGALG00000053871', 'ENSGALG00000054415', 'ENSGALG00000047563', 'ENSGALG00000033792', 'ENSGALG00000054915'}","{'ENSGALG00010029469', 'ENSGALG00010029451', 'ENSGALG00010029474', 'ENSGALG00010029475', 'ENSGALG00010029471', 'ENSGALG00010029468', 'ENSGALG00010029476', 'ENSGALG00010029472', 'ENSGALG00010029942'}",ENSCPBG00000018466,ENSVKKG00000013656,ENSCPRG00005002599
CDCA9,ENSGALG00000021225,ENSGALG00010023513,ENSCPBG00000016071,ENSVKKG00000003343,ENSCPRG00005004013
CDCP1,ENSGALG00000040447,ENSGALG00010017568,ENSCPBG00000023200,ENSVKKG00000000043,ENSCPRG00005008372
CDCP2,ENSGALG00000010752,ENSGALG00010025359,ENSCPBG00000003401,ENSVKKG00000011230,ENSCPRG00005005313
CDH1,ENSGALG00000000608,ENSGALG00010010422,"{'ENSCPBG00000005354', 'ENSCPBG00000013729'}",ENSVKKG00000007330,ENSCPRG00005008089
CDH10,ENSGALG00000032022,ENSGALG00010000760,ENSCPBG00000002731,ENSVKKG00000000299,ENSCPRG00005016543
CDH11,ENSGALG00000039985,ENSGALG00010007302,ENSCPBG00000011894,ENSVKKG00000014184,ENSCPRG00005005508
CDH12,ENSGALG00000012941,ENSGALG00010000770,ENSCPBG00000021612,ENSVKKG00000000208,ENSCPRG00005016516
CDH13,ENSGALG00000005483,ENSGALG00010007529,ENSCPBG00000023893,ENSVKKG00000014061,ENSCPRG00005006294
CDH15,ENSGALG00000030040,ENSGALG00010007957,ENSCPBG00000023399,ENSVKKG00000005819,ENSCPRG00005007751
CDH17,ENSGALG00000035094,ENSGALG00010012171,ENSCPBG00000003123,ENSVKKG00000009826,ENSCPRG00005002124
CDH18,ENSGALG00000036097,ENSGALG00010000814,ENSCPBG00000021120,"{'ENSVKKG00000000105', 'ENSVKKG00000000124'}",ENSCPRG00005016488
CDH19,ENSGALG00000013775,ENSGALG00010001487,ENSCPBG00000028416,ENSVKKG00000017629,ENSCPRG00005006646
CDH2,ENSGALG00000015132,ENSGALG00010005621,ENSCPBG00000021062,ENSVKKG00000006812,ENSCPRG00005014667
CDH20,ENSGALG00000012906,ENSGALG00010009727,ENSCPBG00000026622,ENSVKKG00000008115,ENSCPRG00005016626
CDH22,ENSGALG00000007211,ENSGALG00010016083,ENSCPBG00000026806,ENSVKKG00000009575,ENSCPRG00005008387
CDH23,ENSGALG00000036824,ENSGALG00010020041,ENSCPBG00000025929,"{'ENSVKKG00000002827', 'ENSVKKG00000002857'}",ENSCPRG00005006959
CDH4,"{'ENSGALG00000005102', 'ENSGALG00000049995'}",ENSGALG00010022776,ENSCPBG00000027058,ENSVKKG00000003954,ENSCPRG00005005277
CDH5,ENSGALG00000032349,ENSGALG00010007270,ENSCPBG00000012051,ENSVKKG00000014182,ENSCPRG00005005443
