eggnog_name,gene_id
EIF4E2P1,ENSG00000213384
TMEM230,ENSG00000089063
,ENSG00000284758
MIR6848,ENSG00000285428
SCRT1,ENSG00000284923
,ENSG00000279474
TMEM249,ENSG00000285272
,ENSG00000265626
ZNF516-DT,ENSG00000275763
,ENSG00000285047
FBXL6,ENSG00000285442
,ENSG00000266614
,ENSG00000263982
,ENSG00000261307
KRT8P5,ENSG00000267573
,ENSG00000275827
,ENSG00000276282
NCF4-AS1,ENSG00000183822
ADCK5,ENSG00000285451
,ENSG00000278971
,ENSG00000266774
,ENSG00000232897
,ENSG00000266273
,ENSG00000280199
LINC01927,ENSG00000266312
,ENSG00000281732
,ENSG00000235154
,ENSG00000287281
ZBED4,ENSG00000100426
CPSF1,ENSG00000285049
LINC01893,ENSG00000264260
CNN2P1,ENSG00000227201
ANP32BP2,ENSG00000231801
,ENSG00000278902
,ENSG00000233179
,ENSG00000264015
,ENSG00000224715
,ENSG00000266213
LINC01898,ENSG00000261194
,ENSG00000263733
,ENSG00000286603
RPL3,ENSG00000100316
LINC02582,ENSG00000261780
MIR939,ENSG00000284918
MIR1234,ENSG00000285207
MIR6849,ENSG00000285088
,ENSG00000284888
SLC39A4,ENSG00000285243
LINC01539,ENSG00000267712
VPS28,ENSG00000285339
,ENSG00000288392
,ENSG00000288236
LINC00676,ENSG00000234854
,ENSG00000288506
LINC00397,ENSG00000223404
TUBGCP3,ENSG00000126216
SLC52A2,ENSG00000285112
PCSK2,ENSG00000125851
,ENSG00000264108
,ENSG00000271702
MBP,ENSG00000197971
,ENSG00000276768
,ENSG00000225280
ZNF343,ENSG00000088876
,ENSG00000278881
GRK3-AS1,ENSG00000234884
PA2G4P2,ENSG00000235698
NKX2-2-AS1,ENSG00000258197
CST8,ENSG00000125815
GTSE1,ENSG00000075218
,ENSG00000286549
,ENSG00000288515
MRPL51P2,ENSG00000232777
,ENSG00000228120
,ENSG00000288259
,ENSG00000288147
CRYAA,ENSG00000160202
ISM1,ENSG00000101230
CST5,ENSG00000170367
U2AF1,ENSG00000160201
,ENSG00000234282
,ENSG00000232271
,ENSG00000230908
RPL7AP13,ENSG00000235208
,ENSG00000271426
,ENSG00000277087
PGAM3P,ENSG00000237256
LINC01752,ENSG00000224961
,ENSG00000274863
,ENSG00000284776
SYNDIG1,ENSG00000101463
EIF4ENIF1,ENSG00000184708
,ENSG00000288115
,ENSG00000286284
,ENSG00000271437
SLC5A11,ENSG00000288216
,ENSG00000287018
LINC01432,ENSG00000234435
GRK1,ENSG00000185974
RPS11P1,ENSG00000235544
,ENSG00000287561
LINC01751,ENSG00000261249
,ENSG00000278816
,ENSG00000287241
XRN2,ENSG00000088930
,ENSG00000276740
ARHGAP17,ENSG00000288353
RNF113B,ENSG00000139797
,ENSG00000204398
,ENSG00000286906
MYO16-AS2,ENSG00000229938
OBI1,ENSG00000152193
LINC02337,ENSG00000215881
MYO16-AS1,ENSG00000236242
,ENSG00000269189
LINC03061,ENSG00000275216
ATP5MC1P5,ENSG00000227590
,ENSG00000269599
LINC00443,ENSG00000230156
,ENSG00000260385
SUCLA2-AS1,ENSG00000227848
TRIM60P13,ENSG00000227247
CDKN2AIPNLP3,ENSG00000224351
,ENSG00000276269
,ENSG00000285643
AZU1P1,ENSG00000270444
BNIP3P7,ENSG00000270496
UBL3,ENSG00000122042
,ENSG00000286022
SIRPB3P,ENSG00000223750
,ENSG00000204684
MOB1AP1,ENSG00000228241
LINC00396,ENSG00000231428
SETD4,ENSG00000185917
LINC01040,ENSG00000226037
TIMM8BP1,ENSG00000236258
,ENSG00000232252
MLNR,ENSG00000102539
BETALINC1,ENSG00000233492
,ENSG00000288410
LINC02335,ENSG00000278630
,ENSG00000288285
SNRPB2,ENSG00000125870
FLT3,ENSG00000122025
,ENSG00000265417
,ENSG00000260747
RPL5P35,ENSG00000214727
ZNF516,ENSG00000101493
MRPS18CP6,ENSG00000228807
,ENSG00000230440
LINC01643,ENSG00000236052
LINC01722,ENSG00000233048
,ENSG00000286087
,ENSG00000236168
GAPDHP2,ENSG00000236811
PCMTD1P7,ENSG00000282949
,ENSG00000278041
CST7,ENSG00000077984
,ENSG00000265639
HNRNPA1P11,ENSG00000264315
CHST9,ENSG00000154080
,ENSG00000230725
,ENSG00000265101
KRT18P8,ENSG00000264644
,ENSG00000264212
ARGLU1,ENSG00000134884
,ENSG00000264116
,ENSG00000287569
APMAP,ENSG00000101474
,ENSG00000267202
LINC01900,ENSG00000265758
LINC00229,ENSG00000234300
,ENSG00000288540
,ENSG00000263611
FARP1,ENSG00000152767
PRR5-ARHGAP8,ENSG00000248405
,ENSG00000264472
LINC00668,ENSG00000265933
BFSP1,ENSG00000125864
EIF4A3P1,ENSG00000266181
TMEM241,ENSG00000134490
MTCO1P3,ENSG00000228930
,ENSG00000228355
COL18A1-AS2,ENSG00000224574
COL18A1-AS1,ENSG00000183535
MIR6815,ENSG00000275167
MIR1245A,ENSG00000291749
MIR1245B,ENSG00000291750
MIR3606,ENSG00000291751
COL3A1,ENSG00000291748
SLC19A1,ENSG00000173638
FRG1EP,ENSG00000282995
PDYN-AS1,ENSG00000233896
MEF2D,ENSG00000291761
CFTRP2,ENSG00000282921
GGTLC1,ENSG00000149435
Y_RNA,ENSG00000291752
,ENSG00000291762
,ENSG00000291763
,ENSG00000291753
IQGAP3,ENSG00000291754
TTC24,ENSG00000291760
,ENSG00000291755
HAPLN2,ENSG00000291756
BCAN-AS1,ENSG00000291757
COX5BP7,ENSG00000226024
,ENSG00000291758
,ENSG00000286082
POM121L3P,ENSG00000167390
,ENSG00000286594
,ENSG00000279494
GPATCH4,ENSG00000292251
CST2,ENSG00000170369
,ENSG00000273192
SAMM50,ENSG00000100347
COL18A1,ENSG00000182871
,ENSG00000270001
,ENSG00000228539
CST12P,ENSG00000226344
,ENSG00000286472
,ENSG00000273838
DSTN,ENSG00000125868
CFTRP3,ENSG00000204555
,ENSG00000287288
STK35,ENSG00000125834
DUX4L35,ENSG00000282911
LINC01597,ENSG00000205611
,ENSG00000236550
SCRT2,ENSG00000215397
ISM1-AS1,ENSG00000226263
,ENSG00000260202
,ENSG00000279734
,ENSG00000266586
LINC01029,ENSG00000265843
NCOA6,ENSG00000198646
TTC38,ENSG00000075234
,ENSG00000283130
,ENSG00000287295
,ENSG00000286126
,ENSG00000264595
PRPF19P1,ENSG00000264685
,ENSG00000280169
FAM216B,ENSG00000179813
,ENSG00000288385
,ENSG00000288416
,ENSG00000286820
,ENSG00000288391
LINC00460,ENSG00000233532
ELP2,ENSG00000134759
GRPEL2P1,ENSG00000233211
,ENSG00000280455
,ENSG00000232636
,ENSG00000279231
,ENSG00000288552
KMT5AP1,ENSG00000279730
U6,ENSG00000276183
MIR4499,ENSG00000263978
SNORD102,ENSG00000207500
SNORA27,ENSG00000207051
RNY1P1,ENSG00000201242
RNU6-70P,ENSG00000252247
RNU6-63P,ENSG00000252499
MIR2276,ENSG00000252695
Metazoa_SRP,ENSG00000278172
RNU6-64P,ENSG00000252928
Metazoa_SRP,ENSG00000275788
,ENSG00000199196
RNU5A-4P,ENSG00000252397
RNA5SP26,ENSG00000199276
RNU6-56P,ENSG00000252795
RN7SKP1,ENSG00000202395
SNORD116,ENSG00000212553
MIR4305,ENSG00000264171
RNY4P14,ENSG00000200526
RNY3P9,ENSG00000207458
RN7SKP2,ENSG00000252812
RNA5SP27,ENSG00000200709
,ENSG00000237316
RN7SL700P,ENSG00000244521
RNU6-60P,ENSG00000201662
,ENSG00000279182
RNY3P2,ENSG00000199788
Metazoa_SRP,ENSG00000274357
LINC01639,ENSG00000236117
RN7SL618P,ENSG00000241613
MIR5007,ENSG00000264387
RN7SKP6,ENSG00000201665
,ENSG00000275071
RNA5SP30,ENSG00000202422
RNY4P29,ENSG00000222733
MIR3169,ENSG00000266663
RNU7-88P,ENSG00000239003
RNY3P5,ENSG00000206854
RN7SL375P,ENSG00000265745
RNU7-87P,ENSG00000238500
,ENSG00000288144
,ENSG00000212377
,ENSG00000288294
SLC25A17,ENSG00000100372
RN7SL761P,ENSG00000243671
,ENSG00000288290
SNX18P23,ENSG00000288446
RNU6-80P,ENSG00000206922
,ENSG00000288158
,ENSG00000278113
,ENSG00000199282
MTCO3P39,ENSG00000288489
,ENSG00000251715
MTND3P22,ENSG00000288303
RNY1P8,ENSG00000206697
,ENSG00000288184
RNU4-10P,ENSG00000201253
RNU6-66P,ENSG00000200267
,ENSG00000288249
RNU6-79P,ENSG00000199381
RNY3P10,ENSG00000207495
RN7SL571P,ENSG00000243274
RNA5SP33,ENSG00000252496
RNU6-61P,ENSG00000202398
RNU6-54P,ENSG00000202433
RNY3P7,ENSG00000206800
RNU6-77P,ENSG00000222486
RNY3P3,ENSG00000200686
RNU6-38P,ENSG00000206812
MIR4500,ENSG00000266052
RNU6-67P,ENSG00000222791
,ENSG00000200733
RN7SKP8,ENSG00000222969
MIR3170,ENSG00000263399
RN7SL60P,ENSG00000243366
,ENSG00000252550
RN7SKP10,ENSG00000201161
SNORD31B,ENSG00000201847
RN7SL783P,ENSG00000265885
MIR1267,ENSG00000221650
RNA5SP38,ENSG00000222682
MIR8073,ENSG00000276765
,ENSG00000200072
NME1P1,ENSG00000237175
MTND3P1,ENSG00000226118
,ENSG00000287357
FTH1P7,ENSG00000232187
DDX39AP1,ENSG00000225777
SNORD36,ENSG00000253094
RPL7AP73,ENSG00000237952
IPMKP1,ENSG00000226507
RFESDP1,ENSG00000231650
BASP1P1,ENSG00000230535
NUS1P2,ENSG00000234685
,ENSG00000283075
HMGA1P6,ENSG00000233440
RNY3P4,ENSG00000207157
LINC00362,ENSG00000229483
RNU6-58P,ENSG00000252952
TATDN2P3,ENSG00000235205
SDAD1P4,ENSG00000236803
RPLP1P13,ENSG00000232163
SACS-AS1,ENSG00000229558
LINC00327,ENSG00000232977
,ENSG00000277901
,ENSG00000238129
CFTRP1,ENSG00000228593
,ENSG00000286270
DEFB127,ENSG00000088782
LINC00352,ENSG00000227893
ITM2B,ENSG00000136156
LINC01723,ENSG00000234265
SPTLC3,ENSG00000172296
,ENSG00000273289
PPP1R26P1,ENSG00000238086
PCNPP5,ENSG00000177197
TRIOBP,ENSG00000100106
,ENSG00000277684
,ENSG00000225069
Metazoa_SRP,ENSG00000277233
DUX4L32,ENSG00000283069
,ENSG00000287599
HSPE1P1,ENSG00000234878
GSTM3P1,ENSG00000227693
,ENSG00000274929
,ENSG00000287211
LINC01077,ENSG00000233456
FAM182A,ENSG00000125804
TRIM13,ENSG00000204977
,ENSG00000288230
,ENSG00000288180
,ENSG00000288438
MIR6724-3,ENSG00000288482
,ENSG00000288192
,ENSG00000288444
RNA5-8SN3,ENSG00000288387
,ENSG00000288491
,ENSG00000288395
,ENSG00000288203
,ENSG00000288451
MIR6724-4,ENSG00000288308
,ENSG00000288346
FAM3B,ENSG00000183844
,ENSG00000288254
RNA5-8SN1,ENSG00000288326
,ENSG00000288168
,ENSG00000288386
,ENSG00000288493
,ENSG00000288287
,ENSG00000236985
MIR3613,ENSG00000264864
KCNRG,ENSG00000198553
,ENSG00000226405
,ENSG00000231015
FAT1P1,ENSG00000217809
DUX4L33,ENSG00000282894
DEFB115,ENSG00000215547
,ENSG00000277913
,ENSG00000277066
MIR16-1,ENSG00000208006
,ENSG00000270299
MIR15A,ENSG00000283785
,ENSG00000274878
,ENSG00000273612
,ENSG00000277752
,ENSG00000275559
,ENSG00000276089
RPL18P10,ENSG00000214359
,ENSG00000273541
,ENSG00000274270
ST13P4,ENSG00000232150
RPL34P26,ENSG00000223676
,ENSG00000286191
RNA5SP28,ENSG00000200711
MIR663AHG,ENSG00000227195
RNASEH2B-AS1,ENSG00000233672
,ENSG00000291825
TCEAL2,ENSG00000291823
BEX5,ENSG00000291824
TCEAL6,ENSG00000291827
RNASEH2B,ENSG00000136104
,ENSG00000228318
,ENSG00000207503
,ENSG00000232806
ADAMTS1,ENSG00000154734
SEZ6L-AS1,ENSG00000224192
,ENSG00000260613
PIK3IP1-DT,ENSG00000228839
LINC00898,ENSG00000205634
TTLL12,ENSG00000100304
,ENSG00000261610
MIS18A,ENSG00000159055
,ENSG00000291769
CD226,ENSG00000150637
COL18A1-AS2,ENSG00000291765
MIS18A-AS1,ENSG00000227256
COL18A1-AS1,ENSG00000291766
MIR6815,ENSG00000291767
MRAP-AS1,ENSG00000232623
,ENSG00000291770
COL18A1,ENSG00000292234
MRAP,ENSG00000170262
,ENSG00000231010
,ENSG00000286393
,ENSG00000285722
,ENSG00000213279
LINC01668,ENSG00000283051
,ENSG00000233754
,ENSG00000287225
,ENSG00000225218
WDR4,ENSG00000160193
PRR5,ENSG00000186654
CST2P1,ENSG00000232595
CST9LP1,ENSG00000204662
,ENSG00000225056
RPS27AP2,ENSG00000232333
,ENSG00000273669
RNF125,ENSG00000101695
JAG1,ENSG00000101384
,ENSG00000287693
,ENSG00000264388
,ENSG00000279678
,ENSG00000265946
ARL2BPP1,ENSG00000265934
,ENSG00000265644
PFDN5,ENSG00000291834
MYG1,ENSG00000291835
PIGN,ENSG00000197563
AAAS,ENSG00000291836
NDUFV3,ENSG00000160194
,ENSG00000230495
SLC23A2,ENSG00000089057
SP7,ENSG00000291837
GABPA,ENSG00000154727
,ENSG00000291839
MTFR2P2,ENSG00000235647
LINC01310,ENSG00000205632
PIM3,ENSG00000198355
CLIC6,ENSG00000159212
GTSE1-DT,ENSG00000277232
DENND6B,ENSG00000205593
PIGP,ENSG00000185808
,ENSG00000204556
CST9L,ENSG00000101435
,ENSG00000232900
OR4K2,ENSG00000291804
,ENSG00000279345
,ENSG00000280312
OR4K5,ENSG00000291822
,ENSG00000279597
OR4K1,ENSG00000291807
,ENSG00000279712
,ENSG00000225676
KCNE2,ENSG00000159197
,ENSG00000279833
OR4K15,ENSG00000291812
,ENSG00000280224
OR4K14,ENSG00000291805
OR4K13,ENSG00000291806
TPTE,ENSG00000274391
CERK,ENSG00000100422
OR4L1,ENSG00000291772
RNA5SP380,ENSG00000291773
OR4K17,ENSG00000291811
OR4N5,ENSG00000291808
OR11G2,ENSG00000291810
OR11H6,ENSG00000291779
OR11H4,ENSG00000291809
TTC5,ENSG00000291781
BSNDP3,ENSG00000277508
FAM242B,ENSG00000287889
,ENSG00000285100
DUX4L37,ENSG00000283020
,ENSG00000277581
,ENSG00000274825
CCNB1IP1,ENSG00000291784
,ENSG00000225956
,ENSG00000234862
LINC01734,ENSG00000230324
TASP1,ENSG00000089123
,ENSG00000291785
SNORA79B,ENSG00000291786
SNORD126,ENSG00000291787
RPPH1,ENSG00000291789
PARP2,ENSG00000291803
,ENSG00000206249
,ENSG00000223410
IFNL3P1,ENSG00000291869
,ENSG00000276638
IFNL3,ENSG00000291876
WFDC9,ENSG00000180205
PPP6R2,ENSG00000100239
MSRB1P1,ENSG00000291870
IFNL4P1,ENSG00000291871
IFNL2,ENSG00000291875
IFNL1,ENSG00000291872
TEP1,ENSG00000291791
LRFN1,ENSG00000291874
,ENSG00000231081
GMFG,ENSG00000291873
SOGA1,ENSG00000149639
,ENSG00000291878
,ENSG00000291879
IFNL4,ENSG00000292250
RNA5SP382,ENSG00000291792
KLHL33,ENSG00000291793
OSGEP,ENSG00000291794
LINC01728,ENSG00000233277
LINC02967,ENSG00000274173
APEX1,ENSG00000291796
,ENSG00000286483
,ENSG00000228503
,ENSG00000285144
,ENSG00000273828
,ENSG00000220540
WFDC10A,ENSG00000180305
,ENSG00000276223
PGBD4P2,ENSG00000277708
LINC00652,ENSG00000179935
SYNJ1,ENSG00000159082
PIP4P1,ENSG00000291802
PNP,ENSG00000291814
PPP1R16B,ENSG00000101445
RNASE10,ENSG00000291813
OR4K6P,ENSG00000291799
OR4K3,ENSG00000291821
OR4K4P,ENSG00000291800
,ENSG00000291801
,ENSG00000291816
OR4K16P,ENSG00000291815
OR4U1P,ENSG00000291771
OR4T1P,ENSG00000291774
PSMB7P1,ENSG00000291775
GTF2IP22,ENSG00000291776
OR11G1P,ENSG00000291777
OR11P1P,ENSG00000291778
,ENSG00000291818
OR11H5P,ENSG00000291817
,ENSG00000291782
,ENSG00000291783
,ENSG00000291788
,ENSG00000291790
,ENSG00000291820
,ENSG00000291819
,ENSG00000291795
,ENSG00000291797
OR4Q2,ENSG00000292258
OR11H7,ENSG00000291780
RNA5SP29,ENSG00000222920
DLEU1,ENSG00000176124
,ENSG00000234967
,ENSG00000281460
,ENSG00000236874
,ENSG00000286063
,ENSG00000287983
NPM1P19,ENSG00000223864
,ENSG00000231119
,ENSG00000281365
DHX35-DT,ENSG00000261431
DHX35,ENSG00000101452
RPL5P31,ENSG00000214878
,ENSG00000274652
PRELID3BP2,ENSG00000271242
MIR5693,ENSG00000266072
FAM124A,ENSG00000150510
VN1R17P,ENSG00000291881
,ENSG00000291889
Y_RNA,ENSG00000291882
ZNF496,ENSG00000291884
,ENSG00000287530
ZNF496-DT,ENSG00000291885
SPATA13,ENSG00000228741
IPO7P2,ENSG00000225674
PCOTH,ENSG00000205861
ZAR1L,ENSG00000189167
RNU6-954P,ENSG00000223287
NF1P3,ENSG00000183249
PPP6R2P1,ENSG00000233442
,ENSG00000291883
VN1R5,ENSG00000291888
IFIT1P1,ENSG00000215515
FRG2MP,ENSG00000275170
ANKRD20A18P,ENSG00000249493
RNA5SP488,ENSG00000201812
N4BP2L1,ENSG00000139597
,ENSG00000277572
ERLEC1P1,ENSG00000240755
RBM11,ENSG00000185272
,ENSG00000238192
PRR14L,ENSG00000183530
HSPA13,ENSG00000155304
RTL6,ENSG00000188636
PRR34-AS1,ENSG00000241990
PCBP2P1,ENSG00000235701
,ENSG00000276873
PSMG1,ENSG00000183527
FAM83F,ENSG00000133477
,ENSG00000291832
MIR766,ENSG00000291828
,ENSG00000292244
,ENSG00000280424
,ENSG00000226954
,ENSG00000229409
,ENSG00000270008
PVALB,ENSG00000100362
ATP8A2P2,ENSG00000229800
TOX2,ENSG00000124191
NDE1P2,ENSG00000271337
SMAD9-IT1,ENSG00000236711
LAMTOR3P1,ENSG00000228825
RPL29P28,ENSG00000232378
EIF4A1P5,ENSG00000226161
CSNK1A1L,ENSG00000180138
TMEM272,ENSG00000281106
CTAGE3P,ENSG00000232872
,ENSG00000279677
RFXAP,ENSG00000133111
ALG12,ENSG00000182858
TRPC4,ENSG00000133107
BRWD1,ENSG00000185658
SNORA71B,ENSG00000235408
KCNK15-AS1,ENSG00000244558
,ENSG00000229976
GAPDHP54,ENSG00000226769
EYA2,ENSG00000064655
MPTX1,ENSG00000291896
OR10J2P,ENSG00000291897
FCER1A,ENSG00000291905
SYNGR1,ENSG00000100321
,ENSG00000291902
OR10J7P,ENSG00000291898
OR10J8P,ENSG00000291899
OR10J9P,ENSG00000291900
OR10J1,ENSG00000291903
LINC02819,ENSG00000291904
OR10J3,ENSG00000291901
OR10J4,ENSG00000292247
,ENSG00000279642
SEZ6L,ENSG00000100095
NAA50P1,ENSG00000291840
OR8J2,ENSG00000291841
OR5T2,ENSG00000291863
OR5T3,ENSG00000291866
OR5T1,ENSG00000291860
OR8H1,ENSG00000291864
OR8I1P,ENSG00000291842
OR8K3,ENSG00000291865
FAM8A2P,ENSG00000291843
OR8K2P,ENSG00000291844
OR8K1,ENSG00000291861
OR8J1,ENSG00000291858
RPL5P29,ENSG00000291845
OR8U1,ENSG00000291846
OR8L1P,ENSG00000291847
OR5AL2P,ENSG00000291848
OR8U3,ENSG00000291849
OR5M4P,ENSG00000291850
,ENSG00000291851
OR5M9,ENSG00000291852
OR5M3,ENSG00000291859
,ENSG00000291868
OR5M2P,ENSG00000291867
OR5M8,ENSG00000291862
,ENSG00000291853
OR5M7P,ENSG00000291854
,ENSG00000291855
OR5M6P,ENSG00000291856
OR5M5P,ENSG00000291857
OR5AL1,ENSG00000292252
LINC02871,ENSG00000125899
,ENSG00000273451
,ENSG00000269931
,ENSG00000235292
,ENSG00000233415
WFDC11,ENSG00000180083
,ENSG00000286117
ELMO2,ENSG00000062598
RASL11A,ENSG00000122035
,ENSG00000272991
TIMM9P2,ENSG00000232608
BRWD1-IT1,ENSG00000237373
RN7SL288P,ENSG00000240767
METTL21AP1,ENSG00000229623
RN7SKP5,ENSG00000252854
GPRC5C,ENSG00000291917
ABITRAMP1,ENSG00000251106
BRWD1-AS1,ENSG00000238141
,ENSG00000287863
LINC00563,ENSG00000261097
RNU2-6P,ENSG00000223336
RNU6-68P,ENSG00000252385
PPP1R2P4,ENSG00000241353
HMGN1,ENSG00000205581
OR7E101P,ENSG00000227019
,ENSG00000277228
COX17P1,ENSG00000205105
FKBP1AP3,ENSG00000230243
CD300A,ENSG00000291918
,ENSG00000263594
CPB2,ENSG00000080618
,ENSG00000263547
CD300LB,ENSG00000291919
,ENSG00000287758
,ENSG00000275178
,ENSG00000291924
MOCOS,ENSG00000075643
CD300C,ENSG00000291920
,ENSG00000291921
CD300LD,ENSG00000291922
CD300LD-AS1,ENSG00000291923
CD300H,ENSG00000291925
LINC01899,ENSG00000265352
LCP1,ENSG00000136167
LINC02864,ENSG00000263711
,ENSG00000263917
,ENSG00000260457
NETO1,ENSG00000166342
PNLIPRP1,ENSG00000291891
,ENSG00000265995
,ENSG00000286245
,ENSG00000271313
LINC00907,ENSG00000267586
SPMIP5,ENSG00000291892
,ENSG00000291893
RPL5P27,ENSG00000291894
PNLIPRP2,ENSG00000291895
SIAH3,ENSG00000215475
LINC01198,ENSG00000231817
CNDP2,ENSG00000133313
,ENSG00000279175
IFT27,ENSG00000100360
CDC42P6,ENSG00000291926
GBA3,ENSG00000291927
Y_RNA,ENSG00000252915
RNF6P1,ENSG00000227406
GET1,ENSG00000182093
LINC00411,ENSG00000229599
NALCN,ENSG00000102452
NHIP,ENSG00000286381
PDGFB,ENSG00000100311
LINC01427,ENSG00000225321
,ENSG00000286083
CDC27P3,ENSG00000283005
,ENSG00000274261
GET1-SH3BGR,ENSG00000285815
OR51P1P,ENSG00000291906
OR52J2P,ENSG00000291907
MPPED1,ENSG00000186732
OR52J3,ENSG00000291908
RIPOR3,ENSG00000042062
OR52E2,ENSG00000291909
OR52S1P,ENSG00000291910
OR52E3P,ENSG00000291911
MIR6508,ENSG00000275523
OR52J1P,ENSG00000291912
MYL6P2,ENSG00000235808
,ENSG00000291913
OR52A4P,ENSG00000291915
RPS26P4,ENSG00000228349
,ENSG00000291916
JCADP1,ENSG00000235012
B3GALT5-AS1,ENSG00000184809
OR52E1,ENSG00000292245
,ENSG00000265579
,ENSG00000279416
,ENSG00000267628
,ENSG00000276934
,ENSG00000225330
,ENSG00000263863
,ENSG00000231713
LINC01910,ENSG00000266278
,ENSG00000279034
,ENSG00000264193
RPL35AP,ENSG00000234075
PCP4,ENSG00000183036
ATG3P1,ENSG00000224357
,ENSG00000286844
SPATA2,ENSG00000158480
,ENSG00000267404
,ENSG00000267098
PARVG,ENSG00000138964
,ENSG00000266479
,ENSG00000280205
LARP7P3,ENSG00000265698
LINC01477,ENSG00000261715
FAM83D,ENSG00000101447
RPL12P40,ENSG00000243516
,ENSG00000285748
,ENSG00000264131
,ENSG00000286716
DSCAM,ENSG00000171587
,ENSG00000265781
,ENSG00000277425
,ENSG00000279433
,ENSG00000286328
SLC2A10,ENSG00000197496
CNDP1,ENSG00000150656
RPS2P7,ENSG00000235508
LINC03079,ENSG00000276923
KCNB1,ENSG00000158445
,ENSG00000232200
,ENSG00000278153
KCNK15,ENSG00000124249
,ENSG00000237788
LINC00555,ENSG00000261057
CDH22,ENSG00000149654
,ENSG00000276957
CCDC168,ENSG00000175820
,ENSG00000286312
TEX30,ENSG00000151287
MIR4760,ENSG00000263973
DSCAM-AS1,ENSG00000235123
,ENSG00000267456
,ENSG00000268566
SQSTM1,ENSG00000284099
RNF114,ENSG00000124226
,ENSG00000273584
,ENSG00000267399
,ENSG00000284579
,ENSG00000284494
,ENSG00000286976
U4,ENSG00000283939
,ENSG00000207147
,ENSG00000283896
,ENSG00000264869
DSCAM-IT1,ENSG00000233756
,ENSG00000284549
,ENSG00000284124
RPL17P45,ENSG00000267664
RUFY1,ENSG00000284260
,ENSG00000265980
,ENSG00000288069
,ENSG00000278532
YRDCP3,ENSG00000230859
BIVM-ERCC5,ENSG00000270181
,ENSG00000278330
,ENSG00000286425
MIR3197,ENSG00000263681
,ENSG00000264236
BACE2,ENSG00000182240
,ENSG00000287689
LINC01916,ENSG00000264232
,ENSG00000278911
RPL35AP36,ENSG00000224856
TWSG1,ENSG00000128791
PRR34,ENSG00000182257
,ENSG00000233574
BIK,ENSG00000100290
PRDX2P3,ENSG00000284556
RUFY1-AS1,ENSG00000283808
Metazoa_SRP,ENSG00000284069
,ENSG00000284506
CBY3,ENSG00000283718
CANX,ENSG00000283777
LINC01922,ENSG00000259779
,ENSG00000225170
BIVM,ENSG00000134897
KRT18P4,ENSG00000229222
LINC01754,ENSG00000224565
DOK6,ENSG00000206052
EYA2-AS1,ENSG00000236028
,ENSG00000278890
CFAP61-AS1,ENSG00000243810
DUX4L34,ENSG00000282935
TTLL1,ENSG00000100271
,ENSG00000239783
SLC35C2,ENSG00000080189
MAML1,ENSG00000283780
KIAA1328,ENSG00000150477
LTC4S,ENSG00000283887
MGAT4B,ENSG00000284501
PLAC4,ENSG00000280109
BACE2-IT1,ENSG00000224388
,ENSG00000223400
PCSEAT,ENSG00000286027
LINC00111,ENSG00000227702
LINC00479,ENSG00000236384
,ENSG00000272542
,ENSG00000278445
GAS6-AS1,ENSG00000233695
MAP4K1-AS1,ENSG00000282982
EIF3K,ENSG00000282986
GAS6,ENSG00000183087
LINC00112,ENSG00000232401
MIR1229,ENSG00000283912
MRNIP,ENSG00000283918
RIPK4,ENSG00000183421
ACTN4,ENSG00000282844
,ENSG00000282976
,ENSG00000282869
RNU6-140P,ENSG00000283011
LGALS4,ENSG00000282992
RN7SKP150,ENSG00000284026
Y_RNA,ENSG00000284437
MRNIP-DT,ENSG00000284274
TBC1D9B,ENSG00000284400
,ENSG00000287509
,ENSG00000286090
,ENSG00000235111
GAS6-DT,ENSG00000272695
,ENSG00000285915
,ENSG00000285623
,ENSG00000279077
LINC01538,ENSG00000266952
,ENSG00000286485
,ENSG00000280216
ECH1,ENSG00000282853
,ENSG00000237699
LINC02554,ENSG00000226741
PPP2R3B,ENSG00000167393
,ENSG00000236883
LINC00454,ENSG00000226921
LINC01894,ENSG00000264345
MIR6814,ENSG00000275166
ABCG1,ENSG00000160179
PKDREJ,ENSG00000130943
,ENSG00000287248
,ENSG00000276993
,ENSG00000229275
,ENSG00000292269
LINC01541,ENSG00000260676
,ENSG00000284358
LINC02556,ENSG00000236611
ENTR1P1,ENSG00000256704
,ENSG00000282832
LINC00452,ENSG00000229373
LINC03069,ENSG00000206129
ANKRD54,ENSG00000100124
,ENSG00000283077
HNRNPH1,ENSG00000284254
HNRNPL,ENSG00000282947
SLC25A51P2,ENSG00000263716
,ENSG00000267015
NFE2L3P1,ENSG00000267497
RN7SKP72,ENSG00000199197
RNU6-349P,ENSG00000199272
RN7SL282P,ENSG00000243591
,ENSG00000274766
RN7SL50P,ENSG00000242985
MIR4317,ENSG00000283532
U3,ENSG00000199856
RNU6-916P,ENSG00000251897
RNU2-27P,ENSG00000251994
,ENSG00000212626
RNU6-903P,ENSG00000212572
SWINGN,ENSG00000260910
Y_RNA,ENSG00000200883
Y_RNA,ENSG00000207092
NUDT15,ENSG00000136159
RNU6ATAC20P,ENSG00000221363
RNU6-1032P,ENSG00000206827
RN7SL745P,ENSG00000242182
Y_RNA,ENSG00000223023
,ENSG00000282846
MIR4741,ENSG00000284331
RNU6-702P,ENSG00000201852
,ENSG00000276968
RINL,ENSG00000282895
RNU6-721P,ENSG00000222087
RN7SL97P,ENSG00000242216
RNU6-1289P,ENSG00000207160
